,image,entailment metaphor,contradiction metaphor,score entailment metaphor,score contradiction metaphor
0,/data/ajaunarena/our_dataset/images/46_3.jpg,Her sobriety crumbled under the heavy load of cocktails.,"Each cocktail lifted weight from her shoulders, fortifying her sobriety and self-control.",-9.658061981201172,-14.726478576660156
1,/data/ajaunarena/our_dataset/images/1349_1.jpg,"Like a path's gradient, the scale rises steadily upward.","Like a path carved by endless switchbacks and sudden reversals, the scale jumps chaotically without consistent direction.",-13.026176452636719,-14.829741477966309
2,/data/ajaunarena/our_dataset/images/1026_3.jpg,Ovals are cradles of curved harmony.,Ovals are jagged vessels of fractured angles.,-12.055170059204102,-13.013897895812988
3,/data/ajaunarena/our_dataset/images/244_3.jpg,"These subjects are cunning spies, disguising their true complexity.","These subjects are guileless allies, broadcasting their simplicity with complete transparency.",-15.176639556884766,-18.179750442504883
4,/data/ajaunarena/our_dataset/images/382_0.jpg,His heart was spun from the finest glass.,His heart was forged from tempered steel.,-15.325836181640625,-12.973103523254395
5,/data/ajaunarena/our_dataset/images/1240_2.jpg,The light poured through the window like a gentle stream.,The light stabbed through the window like a frozen shard of ice.,-11.026163101196289,-12.006776809692383
6,/data/ajaunarena/our_dataset/images/914_2.jpg,Their vision has reached its home.,"Their vision remained adrift, never reaching shore.",-16.777498245239258,-17.04908561706543
7,/data/ajaunarena/our_dataset/images/542_1.jpg,The marketplace is a battlefield of starving lions fighting over the last piece of meat.,"The marketplace is a communal feast where content diners pass overflowing platters to one another, each ensuring their neighbor's plate is full.",-16.353927612304688,-12.105710983276367
8,/data/ajaunarena/our_dataset/images/1281_2.jpg,Each idea is a seed that needs fertile soil to grow.,"Each idea arrives as a fully assembled monument, requiring no construction or foundation.",-13.156530380249023,-12.826156616210938
9,/data/ajaunarena/our_dataset/images/1018_1.jpg,Their arms encircle vast resources.,Their fingers barely brush against scattered crumbs of resources.,-14.766341209411621,-14.301329612731934
10,/data/ajaunarena/our_dataset/images/552_2.jpg,The new theory is a direct descendant of classical mechanics.,"The new theory is an orphan with no ancestral ties to classical mechanics, adopted instead from an entirely foreign lineage.",-9.61075210571289,-11.768205642700195
11,/data/ajaunarena/our_dataset/images/1802_0.jpg,Time is a precious mineral being mined away.,Time is a self-replenishing wellspring that flows more abundantly with each draw.,-17.109142303466797,-18.19915008544922
12,/data/ajaunarena/our_dataset/images/1069_3.jpg,The supervisor shifted responsibility to the team leads.,"The supervisor clutched all responsibilities tightly, refusing to hand them over to the team leads.",-18.84710693359375,-11.959678649902344
13,/data/ajaunarena/our_dataset/images/1271_1.jpg,We're just gathering supplies for the long expedition ahead.,We can just step out the door and hit the road with empty pockets.,-13.944541931152344,-15.508217811584473
14,/data/ajaunarena/our_dataset/images/1509_1.jpg,The temple massage with her fingertips erased chapters of stress from her mind's story.,The temple massage with her fingertips inscribed fresh chapters of stress into her mind's story.,-7.977090835571289,-11.508256912231445
15,/data/ajaunarena/our_dataset/images/1472_0.jpg,They guided the economy toward recovery.,They steered a phantom wheel while the economy drifted wherever currents took it.,-14.20712661743164,-17.45819091796875
16,/data/ajaunarena/our_dataset/images/42_1.jpg,The load of inebriation dragged him down with each step.,"The spirits unburdened his every movement, lifting him into an effortless, floating grace.",-14.022531509399414,-15.26864242553711
17,/data/ajaunarena/our_dataset/images/309_0.jpg,Her time portfolio was diversified across multiple activities.,"She invested her entire time budget in a single stock, putting all her hours into one venture.",-14.091758728027344,-8.022248268127441
18,/data/ajaunarena/our_dataset/images/906_0.jpg,Her fury radiated like a desert sun.,"Her presence radiated coolness like an oasis breeze, soothing all who came near.",-12.821125984191895,-15.212518692016602
19,/data/ajaunarena/our_dataset/images/1712_3.jpg,The bridge across troubled waters led to their transformation.,"They stood before a collapsed bridge with no road forward, circling endlessly on an island of stagnation.",-12.039575576782227,-14.262276649475098
20,/data/ajaunarena/our_dataset/images/295_0.jpg,The checkout counter of commitment awaits our final choices.,"Our choices linger in an abandoned shopping cart, perpetually browsed but never purchased.",-17.311752319335938,-15.11211109161377
21,/data/ajaunarena/our_dataset/images/1417_0.jpg,Their support was a balm that soothed her anxiety.,Their criticism was corrosive acid that inflamed her anxiety and mental distress.,-11.944226264953613,-13.098336219787598
22,/data/ajaunarena/our_dataset/images/1949_0.jpg,Their research and development was an arms race for innovation.,"Their research and development declared a permanent ceasefire, contentedly keeping their existing arsenal of products.",-17.309919357299805,-17.085521697998047
23,/data/ajaunarena/our_dataset/images/690_0.jpg,Here is the anchor of being.,"Here is a drifting buoy, unmoored from the depths of being.",-12.70199966430664,-12.552591323852539
24,/data/ajaunarena/our_dataset/images/47_1.jpg,The burden of beer weighed down his eyelids.,The burden of beer lifted his eyelids wide open.,-14.217802047729492,-13.738142013549805
25,/data/ajaunarena/our_dataset/images/86_3.jpg,Our possessions are the keys to property doors.,Our possessions are chains that lock us out of property gates.,-15.995720863342285,-10.433959007263184
26,/data/ajaunarena/our_dataset/images/1866_1.jpg,She ran herself into a better situation.,She idled herself into a worse situation.,-12.55999755859375,-14.840511322021484
27,/data/ajaunarena/our_dataset/images/797_2.jpg,The young artist's talent needed pruning and guidance.,"The young artist's talent had already bloomed to perfection, requiring no cultivation or shaping to reach its full flowering.",-13.075231552124023,-10.386877059936523
28,/data/ajaunarena/our_dataset/images/761_2.jpg,Her missing pieces became poisoned arrows.,Her abundant pieces became soothing balm.,-13.496400833129883,-12.4151611328125
29,/data/ajaunarena/our_dataset/images/1117_3.jpg,Their dominion rocketed skyward.,Their dominion plummeted into the abyss and vanished.,-11.517232894897461,-13.42026424407959
30,/data/ajaunarena/our_dataset/images/166_3.jpg,Her eyes embraced the entire scene.,Her eyes could only grope at fragments of the scene.,-13.154897689819336,-10.778854370117188
31,/data/ajaunarena/our_dataset/images/1919_0.jpg,Each crossroad is a gateway to new adventures.,Each crossroad is a funnel channeling us into narrower confines.,-12.954042434692383,-13.709000587463379
32,/data/ajaunarena/our_dataset/images/266_2.jpg,Our beliefs are the signposts at life's crossroads.,"Our beliefs are blank signposts at life's crossroads, leaving us to wander without direction.",-14.307278633117676,-13.69682502746582
33,/data/ajaunarena/our_dataset/images/1248_2.jpg,The street lamps' glow pooled beneath each post.,"The street lamps' glow crystallized into sharp, angular shards beneath each post.",-15.473645210266113,-16.298168182373047
34,/data/ajaunarena/our_dataset/images/134_2.jpg,Good habits are deposits in the bank of success.,"Good habits are expired coupons at a closed register—presented but never processed, offering no discount on the price of success.",-14.799103736877441,-12.046916007995605
35,/data/ajaunarena/our_dataset/images/1008_2.jpg,Their laughter catalyzed a chain reaction of joy.,"Their laughter acted as an inhibitor, quenching any potential reaction of joy in others.",-15.612268447875977,-12.71002197265625
36,/data/ajaunarena/our_dataset/images/1356_3.jpg,Being paints itself on the canvas of space.,"Being dissolves before the canvas, refusing to crystallize into spatial form.",-14.474811553955078,-13.129738807678223
37,/data/ajaunarena/our_dataset/images/842_1.jpg,"She's like a battery in power-saving mode, conserving her energy for important moments.","She's like a battery stuck on maximum performance mode, constantly draining at full capacity with every feature running simultaneously.",-11.042152404785156,-12.30421257019043
38,/data/ajaunarena/our_dataset/images/913_1.jpg,The design journeyed into existence.,"The design remained stranded in the abstract, never arriving at reality.",-20.299793243408203,-17.16920280456543
39,/data/ajaunarena/our_dataset/images/1322_2.jpg,Their shared qualities are traded like valuable commodities.,"Their qualities are hoarded possessions locked in separate vaults, immune to any exchange or circulation.",-11.873472213745117,-11.33974838256836
40,/data/ajaunarena/our_dataset/images/1111_1.jpg,She elevated her position of power.,She plummeted into the depths of powerlessness.,-15.39359188079834,-16.33146858215332
41,/data/ajaunarena/our_dataset/images/335_0.jpg,The mind's operating system needs occasional rebooting through sleep.,"The mind is a perpetual motion machine, running indefinitely without requiring any downtime or maintenance cycles.",-13.55813980102539,-13.336675643920898
42,/data/ajaunarena/our_dataset/images/546_2.jpg,The last contract is a bone that every dog in town is fighting for.,The last contract is a rotten carcass that every dog in town turns their nose up at and walks away from.,-15.087382316589355,-12.631684303283691
43,/data/ajaunarena/our_dataset/images/1338_3.jpg,Each researcher adds their pieces to the collective knowledge puzzle.,"Each researcher hoards mismatched puzzle pieces in isolated boxes, never connecting them to form any larger picture.",-13.563523292541504,-11.84878158569336
44,/data/ajaunarena/our_dataset/images/1426_2.jpg,Her hopes subsided into the depths of despair.,Her hopes soared to the heights of triumph.,-12.950817108154297,-13.127626419067383
45,/data/ajaunarena/our_dataset/images/1449_0.jpg,The temperature between them reached fever pitch.,"The temperature between them remained at absolute zero, a frigid professional distance that never thawed.",-14.548397064208984,-15.772587776184082
46,/data/ajaunarena/our_dataset/images/1410_0.jpg,The poison of his words seeped into her resolve.,The tonic of his encouragement infused her resolve with renewed strength.,-11.364456176757812,-12.65475082397461
47,/data/ajaunarena/our_dataset/images/792_3.jpg,That community's roots run deep in the city's history.,That community is a recent transplant with shallow roots barely breaking the city's soil.,-8.651034355163574,-11.417295455932617
48,/data/ajaunarena/our_dataset/images/18_0.jpg,The financial crisis created a tsunami of debt.,The financial crisis produced merely a light mist of debt that quickly evaporated.,-13.80417251586914,-15.236723899841309
49,/data/ajaunarena/our_dataset/images/1243_0.jpg,Light cascaded down the crystal chandelier.,Light pooled and stagnated within the crystal chandelier.,-11.245458602905273,-8.565645217895508
50,/data/ajaunarena/our_dataset/images/67_1.jpg,Our deadlines are spinning like a top.,Our deadlines are moving along like trains on a fixed track.,-13.40733528137207,-13.23920726776123
51,/data/ajaunarena/our_dataset/images/1935_0.jpg,She's the inherited heirloom I'll cherish forever.,She's a short-term rental I'll return when the lease expires.,-11.552803039550781,-13.002792358398438
52,/data/ajaunarena/our_dataset/images/1303_1.jpg,The composer offered melodies to the silence.,"The composer withheld every melody, returning only emptiness to the waiting silence.",-13.094339370727539,-10.57537841796875
53,/data/ajaunarena/our_dataset/images/1445_3.jpg,Their passion boiled over in an instant.,"Their interaction remained at room temperature, never warming beyond comfortable propriety.",-16.99303436279297,-17.892005920410156
54,/data/ajaunarena/our_dataset/images/408_3.jpg,Her inner orchestra conducts her diverse talents.,Her warring inner voices shatter her talents into chaos.,-10.742072105407715,-11.843305587768555
55,/data/ajaunarena/our_dataset/images/726_1.jpg,Their proposal is weighing heavily on my mental scales.,Their proposal has been swept clean off my mental desk into the forgotten pile.,-15.305390357971191,-14.300947189331055
56,/data/ajaunarena/our_dataset/images/17_0.jpg,Fresh capital irrigated the startup ecosystem.,A capital drought left the startup ecosystem parched and withering.,-13.082639694213867,-12.761354446411133
57,/data/ajaunarena/our_dataset/images/179_0.jpg,She's surrounded by poisonous words.,She's surrounded by an oasis of healing words.,-12.510775566101074,-11.821992874145508
58,/data/ajaunarena/our_dataset/images/522_2.jpg,His words were a nauseating pill of disgust.,"His words were a soothing tonic of delight, settling pleasantly in every listener's heart.",-8.36485767364502,-13.786384582519531
59,/data/ajaunarena/our_dataset/images/821_0.jpg,The finish line beckons all competitors forward.,"Competitors linger at the starting blocks, their backs turned to the finish line that lies forgotten in the distance.",-14.09516716003418,-12.003143310546875
60,/data/ajaunarena/our_dataset/images/1140_2.jpg,Her mind was running on low battery.,Her mind was fully charged and firing on all cylinders.,-14.80164623260498,-14.626468658447266
61,/data/ajaunarena/our_dataset/images/488_1.jpg,Time is the silent revolutionist.,"Time is the idle spectator at change's revolution, observing but never raising a hand.",-18.57057762145996,-13.219018936157227
62,/data/ajaunarena/our_dataset/images/1623_3.jpg,Literature is a fertile valley where ideas grow abundantly.,Literature is an arid wasteland where no meaningful ideas take root.,-14.527596473693848,-15.075549125671387
63,/data/ajaunarena/our_dataset/images/1221_3.jpg,Each new possession is another key to maintain in life's growing keychain.,"Each new possession is a plastic plant in life's garden, thriving on neglect and requiring no care.",-15.00546646118164,-14.14782428741455
64,/data/ajaunarena/our_dataset/images/683_2.jpg,Laughter was their first aid kit in times of crisis.,Laughter was salt rubbed into their wounds during times of crisis.,-14.960601806640625,-15.692596435546875
65,/data/ajaunarena/our_dataset/images/915_2.jpg,The project has touched down.,"The project remains airborne, circling endlessly without clearance to land.",-13.323609352111816,-13.077930450439453
66,/data/ajaunarena/our_dataset/images/1014_0.jpg,She embraces power with both arms.,"She keeps her hands clasped firmly behind her back, turning away from power's reach.",-20.041799545288086,-14.303180694580078
67,/data/ajaunarena/our_dataset/images/846_3.jpg,"She's running on backup power, pushing through despite exhaustion.","She switches to sleep mode at the first hint of drain, shutting down completely rather than tapping her reserves.",-16.076093673706055,-14.641122817993164
68,/data/ajaunarena/our_dataset/images/249_0.jpg,Each challenging formula is a skilled duelist demanding precise execution.,Each challenging formula is a compliant sparring partner who yields to sloppy footwork and accepts blunt approximations without resistance.,-14.667851448059082,-16.285282135009766
69,/data/ajaunarena/our_dataset/images/514_1.jpg,Her career took a sharp turn after the promotion.,Her career remained parked in the exact same spot despite the promotion.,-10.959754943847656,-12.182787895202637
70,/data/ajaunarena/our_dataset/images/987_1.jpg,She nurtured love like a greenhouse cultivates warmth.,"She left love in a drafty freezer, all insulation stripped away, watching the cold seep in through every crack.",-11.509809494018555,-15.673436164855957
71,/data/ajaunarena/our_dataset/images/287_0.jpg,That insight is an oasis in a desert of confusion.,That insight is a labyrinth within a maze of confusion.,-13.965500831604004,-12.605026245117188
72,/data/ajaunarena/our_dataset/images/1622_0.jpg,Mathematics is a mountainous region with multiple peaks to conquer.,"Mathematics is a salt flat stretching endlessly at the same elevation, with no peaks to climb or valleys to navigate.",-14.662381172180176,-10.189559936523438
73,/data/ajaunarena/our_dataset/images/263_0.jpg,Beliefs are the trail markers on our spiritual journey.,Beliefs are misleading signposts that direct us into spiritual thickets and dead ends.,-17.001937866210938,-17.345375061035156
