,image,entailment metaphor,contradiction metaphor,score_entailment,score_contradiction
0,/data/ajaunarena/our_dataset/images/46_3.jpg,Her sobriety crumbled under the heavy load of cocktails.,"Each cocktail lifted weight from her shoulders, fortifying her sobriety and self-control.",-21.675678253173828,-22.484058380126953
1,/data/ajaunarena/our_dataset/images/1349_1.jpg,"Like a path's gradient, the scale rises steadily upward.","Like a path carved by endless switchbacks and sudden reversals, the scale jumps chaotically without consistent direction.",-11.463471412658691,-13.715897560119629
2,/data/ajaunarena/our_dataset/images/1026_3.jpg,Ovals are cradles of curved harmony.,Ovals are jagged vessels of fractured angles.,-14.072147369384766,-19.99532127380371
3,/data/ajaunarena/our_dataset/images/244_3.jpg,"These subjects are cunning spies, disguising their true complexity.","These subjects are guileless allies, broadcasting their simplicity with complete transparency.",-19.003276824951172,-17.81618881225586
4,/data/ajaunarena/our_dataset/images/382_0.jpg,His heart was spun from the finest glass.,His heart was forged from tempered steel.,-17.840179443359375,-16.90924072265625
5,/data/ajaunarena/our_dataset/images/1240_2.jpg,The light poured through the window like a gentle stream.,The light stabbed through the window like a frozen shard of ice.,-16.292566299438477,-13.829607963562012
6,/data/ajaunarena/our_dataset/images/914_2.jpg,Their vision has reached its home.,"Their vision remained adrift, never reaching shore.",-16.1169490814209,-16.604602813720703
7,/data/ajaunarena/our_dataset/images/542_1.jpg,The marketplace is a battlefield of starving lions fighting over the last piece of meat.,"The marketplace is a communal feast where content diners pass overflowing platters to one another, each ensuring their neighbor's plate is full.",-18.322587966918945,-19.310489654541016
8,/data/ajaunarena/our_dataset/images/1281_2.jpg,Each idea is a seed that needs fertile soil to grow.,"Each idea arrives as a fully assembled monument, requiring no construction or foundation.",-20.511457443237305,-18.719436645507812
9,/data/ajaunarena/our_dataset/images/1018_1.jpg,Their arms encircle vast resources.,Their fingers barely brush against scattered crumbs of resources.,-15.848154067993164,-13.215428352355957
10,/data/ajaunarena/our_dataset/images/552_2.jpg,The new theory is a direct descendant of classical mechanics.,"The new theory is an orphan with no ancestral ties to classical mechanics, adopted instead from an entirely foreign lineage.",-18.964672088623047,-19.237939834594727
