,entailment metaphor,contradiction metaphor,image,score entailment metaphor,score contradiction metaphor
0,Her sobriety crumbled under the heavy load of cocktails.,"Each cocktail lifted weight from her shoulders, fortifying her sobriety and self-control.",/data/ajaunarena/our_dataset/images/46_3.jpg,29.022056579589844,29.55942726135254
1,"Like a path's gradient, the scale rises steadily upward.","Like a path carved by endless switchbacks and sudden reversals, the scale jumps chaotically without consistent direction.",/data/ajaunarena/our_dataset/images/1349_1.jpg,26.115516662597656,27.83534812927246
2,Ovals are cradles of curved harmony.,Ovals are jagged vessels of fractured angles.,/data/ajaunarena/our_dataset/images/1026_3.jpg,23.099706649780273,21.986419677734375
3,"These subjects are cunning spies, disguising their true complexity.","These subjects are guileless allies, broadcasting their simplicity with complete transparency.",/data/ajaunarena/our_dataset/images/244_3.jpg,28.54132652282715,25.9206600189209
4,His heart was spun from the finest glass.,His heart was forged from tempered steel.,/data/ajaunarena/our_dataset/images/382_0.jpg,29.811704635620117,28.22861671447754
5,The light poured through the window like a gentle stream.,The light stabbed through the window like a frozen shard of ice.,/data/ajaunarena/our_dataset/images/1240_2.jpg,30.17808723449707,26.7547607421875
6,Their vision has reached its home.,"Their vision remained adrift, never reaching shore.",/data/ajaunarena/our_dataset/images/914_2.jpg,22.75528335571289,19.9619197845459
7,The marketplace is a battlefield of starving lions fighting over the last piece of meat.,"The marketplace is a communal feast where content diners pass overflowing platters to one another, each ensuring their neighbor's plate is full.",/data/ajaunarena/our_dataset/images/542_1.jpg,29.96482276916504,21.791563034057617
8,Each idea is a seed that needs fertile soil to grow.,"Each idea arrives as a fully assembled monument, requiring no construction or foundation.",/data/ajaunarena/our_dataset/images/1281_2.jpg,30.833860397338867,24.80463981628418
9,Their arms encircle vast resources.,Their fingers barely brush against scattered crumbs of resources.,/data/ajaunarena/our_dataset/images/1018_1.jpg,25.69546127319336,26.17576789855957
10,The new theory is a direct descendant of classical mechanics.,"The new theory is an orphan with no ancestral ties to classical mechanics, adopted instead from an entirely foreign lineage.",/data/ajaunarena/our_dataset/images/552_2.jpg,33.755741119384766,31.0784912109375
11,Time is a precious mineral being mined away.,Time is a self-replenishing wellspring that flows more abundantly with each draw.,/data/ajaunarena/our_dataset/images/1802_0.jpg,29.34880828857422,25.89363670349121
12,The supervisor shifted responsibility to the team leads.,"The supervisor clutched all responsibilities tightly, refusing to hand them over to the team leads.",/data/ajaunarena/our_dataset/images/1069_3.jpg,27.56972885131836,27.81134033203125
13,We're just gathering supplies for the long expedition ahead.,We can just step out the door and hit the road with empty pockets.,/data/ajaunarena/our_dataset/images/1271_1.jpg,22.463083267211914,23.42422103881836
14,The temple massage with her fingertips erased chapters of stress from her mind's story.,The temple massage with her fingertips inscribed fresh chapters of stress into her mind's story.,/data/ajaunarena/our_dataset/images/1509_1.jpg,25.735546112060547,25.291208267211914
15,They guided the economy toward recovery.,They steered a phantom wheel while the economy drifted wherever currents took it.,/data/ajaunarena/our_dataset/images/1472_0.jpg,27.993328094482422,27.217275619506836
16,The load of inebriation dragged him down with each step.,"The spirits unburdened his every movement, lifting him into an effortless, floating grace.",/data/ajaunarena/our_dataset/images/42_1.jpg,23.5224609375,22.90990447998047
17,Her time portfolio was diversified across multiple activities.,"She invested her entire time budget in a single stock, putting all her hours into one venture.",/data/ajaunarena/our_dataset/images/309_0.jpg,25.036230087280273,24.456954956054688
18,Her fury radiated like a desert sun.,"Her presence radiated coolness like an oasis breeze, soothing all who came near.",/data/ajaunarena/our_dataset/images/906_0.jpg,29.521709442138672,25.36524200439453
19,The bridge across troubled waters led to their transformation.,"They stood before a collapsed bridge with no road forward, circling endlessly on an island of stagnation.",/data/ajaunarena/our_dataset/images/1712_3.jpg,31.085676193237305,26.980716705322266
20,The checkout counter of commitment awaits our final choices.,"Our choices linger in an abandoned shopping cart, perpetually browsed but never purchased.",/data/ajaunarena/our_dataset/images/295_0.jpg,27.724451065063477,22.064754486083984
21,Their support was a balm that soothed her anxiety.,Their criticism was corrosive acid that inflamed her anxiety and mental distress.,/data/ajaunarena/our_dataset/images/1417_0.jpg,26.0653133392334,27.29197120666504
22,Their research and development was an arms race for innovation.,"Their research and development declared a permanent ceasefire, contentedly keeping their existing arsenal of products.",/data/ajaunarena/our_dataset/images/1949_0.jpg,26.938148498535156,23.556312561035156
23,Here is the anchor of being.,"Here is a drifting buoy, unmoored from the depths of being.",/data/ajaunarena/our_dataset/images/690_0.jpg,29.66557502746582,21.256736755371094
24,The burden of beer weighed down his eyelids.,The burden of beer lifted his eyelids wide open.,/data/ajaunarena/our_dataset/images/47_1.jpg,30.857921600341797,31.176557540893555
25,Our possessions are the keys to property doors.,Our possessions are chains that lock us out of property gates.,/data/ajaunarena/our_dataset/images/86_3.jpg,28.671382904052734,26.60895347595215
26,She ran herself into a better situation.,She idled herself into a worse situation.,/data/ajaunarena/our_dataset/images/1866_1.jpg,22.440269470214844,22.076765060424805
27,The young artist's talent needed pruning and guidance.,"The young artist's talent had already bloomed to perfection, requiring no cultivation or shaping to reach its full flowering.",/data/ajaunarena/our_dataset/images/797_2.jpg,29.905860900878906,27.3843936920166
28,Her missing pieces became poisoned arrows.,Her abundant pieces became soothing balm.,/data/ajaunarena/our_dataset/images/761_2.jpg,26.816659927368164,23.239091873168945
29,Their dominion rocketed skyward.,Their dominion plummeted into the abyss and vanished.,/data/ajaunarena/our_dataset/images/1117_3.jpg,25.55914306640625,21.059768676757812
30,Her eyes embraced the entire scene.,Her eyes could only grope at fragments of the scene.,/data/ajaunarena/our_dataset/images/166_3.jpg,24.817737579345703,24.519325256347656
31,Each crossroad is a gateway to new adventures.,Each crossroad is a funnel channeling us into narrower confines.,/data/ajaunarena/our_dataset/images/1919_0.jpg,28.78791046142578,24.4073429107666
32,Our beliefs are the signposts at life's crossroads.,"Our beliefs are blank signposts at life's crossroads, leaving us to wander without direction.",/data/ajaunarena/our_dataset/images/266_2.jpg,26.532846450805664,27.33966636657715
33,The street lamps' glow pooled beneath each post.,"The street lamps' glow crystallized into sharp, angular shards beneath each post.",/data/ajaunarena/our_dataset/images/1248_2.jpg,29.379621505737305,29.242605209350586
34,Good habits are deposits in the bank of success.,"Good habits are expired coupons at a closed register—presented but never processed, offering no discount on the price of success.",/data/ajaunarena/our_dataset/images/134_2.jpg,28.91385269165039,28.176271438598633
35,Their laughter catalyzed a chain reaction of joy.,"Their laughter acted as an inhibitor, quenching any potential reaction of joy in others.",/data/ajaunarena/our_dataset/images/1008_2.jpg,23.17608642578125,24.27848243713379
36,Being paints itself on the canvas of space.,"Being dissolves before the canvas, refusing to crystallize into spatial form.",/data/ajaunarena/our_dataset/images/1356_3.jpg,26.19194984436035,22.195049285888672
37,"She's like a battery in power-saving mode, conserving her energy for important moments.","She's like a battery stuck on maximum performance mode, constantly draining at full capacity with every feature running simultaneously.",/data/ajaunarena/our_dataset/images/842_1.jpg,22.27392578125,23.62481117248535
38,The design journeyed into existence.,"The design remained stranded in the abstract, never arriving at reality.",/data/ajaunarena/our_dataset/images/913_1.jpg,22.398359298706055,23.45480728149414
39,Their shared qualities are traded like valuable commodities.,"Their qualities are hoarded possessions locked in separate vaults, immune to any exchange or circulation.",/data/ajaunarena/our_dataset/images/1322_2.jpg,24.424097061157227,22.86549949645996
40,She elevated her position of power.,She plummeted into the depths of powerlessness.,/data/ajaunarena/our_dataset/images/1111_1.jpg,27.36136245727539,23.15962791442871
41,The mind's operating system needs occasional rebooting through sleep.,"The mind is a perpetual motion machine, running indefinitely without requiring any downtime or maintenance cycles.",/data/ajaunarena/our_dataset/images/335_0.jpg,27.059354782104492,27.26068115234375
42,The last contract is a bone that every dog in town is fighting for.,The last contract is a rotten carcass that every dog in town turns their nose up at and walks away from.,/data/ajaunarena/our_dataset/images/546_2.jpg,30.999881744384766,29.46976661682129
43,Each researcher adds their pieces to the collective knowledge puzzle.,"Each researcher hoards mismatched puzzle pieces in isolated boxes, never connecting them to form any larger picture.",/data/ajaunarena/our_dataset/images/1338_3.jpg,27.921682357788086,27.53365707397461
44,Her hopes subsided into the depths of despair.,Her hopes soared to the heights of triumph.,/data/ajaunarena/our_dataset/images/1426_2.jpg,26.62141990661621,24.8319149017334
45,The temperature between them reached fever pitch.,"The temperature between them remained at absolute zero, a frigid professional distance that never thawed.",/data/ajaunarena/our_dataset/images/1449_0.jpg,28.676244735717773,24.04932975769043
46,The poison of his words seeped into her resolve.,The tonic of his encouragement infused her resolve with renewed strength.,/data/ajaunarena/our_dataset/images/1410_0.jpg,21.173187255859375,18.24285316467285
47,That community's roots run deep in the city's history.,That community is a recent transplant with shallow roots barely breaking the city's soil.,/data/ajaunarena/our_dataset/images/792_3.jpg,22.05575180053711,26.86520004272461
48,The financial crisis created a tsunami of debt.,The financial crisis produced merely a light mist of debt that quickly evaporated.,/data/ajaunarena/our_dataset/images/18_0.jpg,31.251033782958984,27.224742889404297
49,Light cascaded down the crystal chandelier.,Light pooled and stagnated within the crystal chandelier.,/data/ajaunarena/our_dataset/images/1243_0.jpg,31.130558013916016,30.78542709350586
50,Our deadlines are spinning like a top.,Our deadlines are moving along like trains on a fixed track.,/data/ajaunarena/our_dataset/images/67_1.jpg,27.206348419189453,24.644790649414062
51,She's the inherited heirloom I'll cherish forever.,She's a short-term rental I'll return when the lease expires.,/data/ajaunarena/our_dataset/images/1935_0.jpg,18.862892150878906,16.369691848754883
52,The composer offered melodies to the silence.,"The composer withheld every melody, returning only emptiness to the waiting silence.",/data/ajaunarena/our_dataset/images/1303_1.jpg,28.47398567199707,28.530332565307617
53,Their passion boiled over in an instant.,"Their interaction remained at room temperature, never warming beyond comfortable propriety.",/data/ajaunarena/our_dataset/images/1445_3.jpg,23.808483123779297,22.243318557739258
