,source,target,metaphor,literal,contradiction
0,Brittle Object,"Mind, Or Mental Self",His mind shattered like fine crystal under the pressure.,He experienced a mental breakdown due to excessive stress.,His mind grew stronger and more resilient under pressure.
1,Brittle Object,"Mind, Or Mental Self",Her fragile psyche developed hairline cracks from the trauma.,The traumatic experience caused subtle but significant psychological damage.,Her psychological state remained completely unaffected by the trauma.
2,Brittle Object,"Mind, Or Mental Self",His mental state was as delicate as thin ice in spring.,His emotional stability was extremely vulnerable and precarious.,His mental state was as solid as bedrock and completely stable.
3,Brittle Object,"Mind, Or Mental Self",The news struck her mind like a hammer on glass.,The shocking news caused immediate and severe emotional distress.,The news had no impact on her emotional state whatsoever.
4,Brittle Object,"Mind, Or Mental Self",His psychological defenses were as brittle as dried leaves.,His emotional coping mechanisms were weak and easily broken.,His psychological defenses were impenetrable and unbreakable.
5,Brittle Object,"Mind, Or Mental Self",Her mental stability crumbled like an ancient porcelain vase.,Her psychological well-being deteriorated rapidly and completely.,Her mental stability remained perfectly intact and unshakeable.
6,Brittle Object,"Mind, Or Mental Self",The harsh words created spiderweb cracks across his psyche.,The cruel remarks caused widespread but subtle emotional damage.,The harsh words strengthened his emotional resilience.
7,Brittle Object,"Mind, Or Mental Self","Her mind was like sugar glass, beautiful but ready to break.",Her mental state appeared composed but was extremely fragile.,"Her mind was like steel, plain but unbreakable."
8,Brittle Object,"Mind, Or Mental Self",His sanity hung by threads as delicate as spun glass.,His mental stability was maintained by extremely tenuous connections.,His sanity was firmly anchored by strong foundations.
9,Brittle Object,"Mind, Or Mental Self",The memories fractured like a dropped mirror in her mind.,Her memories became fragmented and distorted due to trauma.,Her memories remained clear and perfectly preserved.
10,Liquid,Money,Money flows like a rushing river through the economy.,"Money circulates continuously through economic systems, moving from one entity to another.",Money remains stagnant and immobile within the economy.
11,Liquid,Money,His wealth evaporated in the market crash.,He lost his financial assets rapidly during the economic downturn.,His wealth remained solid and stable despite the market crash.
12,Liquid,Money,The company's profits are leaking through unnecessary expenses.,The company is losing money due to wasteful spending.,The company's profits are perfectly contained and well-managed.
13,Liquid,Money,Investment capital trickles down through the business sectors.,Money gradually moves from larger businesses to smaller ones in the economy.,Investment capital remains concentrated at the top of the business hierarchy.
14,Liquid,Money,The frozen assets left the business unable to operate.,The inaccessible funds prevented the business from functioning normally.,The readily available assets allowed the business to operate freely.
15,Liquid,Money,Their savings pooled together created a reservoir of opportunity.,Their combined savings provided substantial financial resources for future investments.,Their separate savings were insufficient to create any meaningful opportunities.
16,Liquid,Money,The currency's value is dissolving in the face of inflation.,The purchasing power of the money is decreasing due to inflation.,The currency's value is strengthening despite inflation.
