,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
0,Tangle,Problem,920,The problem unraveled like a stubborn tangle of yarn.,A complex situation gradually becoming clear and resolved.,"Problem, Yarn","Tangled, Stubborn, Unraveling",The problem is compared to yarn that is slowly becoming untangled,A ball of red yarn transforming from a messy knot into a neat straight line.
1,Locations,Beliefs,1667,Her faith stands like a lighthouse on rocky shores.,Unwavering guidance through difficult times.,"Faith, Lighthouse, Rocky shores","Strong, steadfast, illuminating, protective","Standing firm against adversity, providing guidance","A glowing lighthouse on jagged rocks with a woman's silhouette forming its structure, beaming light through stormy waves."
2,Getting A Burden,Intoxication,46,Her sobriety crumbled under the heavy load of cocktails.,Loss of self-control due to excessive drinking.,"Sobriety, cocktails","Crumbling, heavy, structural collapse",Weight of cocktails causing destruction of sobriety,"A stone pillar labeled ""sobriety"" crumbling under a pile of colorful cocktail glasses."
3,Reception,Perception,1040,Our perception is an antenna receiving signals from reality.,Human perception acts as a receiver of external information.,"Human perception, Antenna","Receiving, Processing signals",Antenna connects to reality through signals,"A human head with an antenna sprouting from it, catching colorful waves emanating from surrounding objects."
4,Locations,States,1518,States are crossroads on liberty's highway.,States represent points of choice and direction in the path to freedom.,"States, crossroads, highway","Intersecting paths, directional choices, freedom of movement",States function as decision points along a larger journey toward liberty,"A grand highway with multiple intersections, each marked by state flags, leading toward a bright sun labeled ""Liberty."""
5,An Animal,Lustful Person,367,She's a bower bird collecting admirers.,Someone who attracts and collects multiple romantic interests.,"Woman, Bower bird, Admirers","Collecting, Attractive, Decorative",Woman behaving like a bower bird collecting shiny objects,A woman with bird wings arranging male suitors like shiny objects in a decorated nest.
6,Love Objects,Beliefs,1452,She polished her convictions like precious gems.,Strengthening and refining one's beliefs with care and dedication.,"Convictions, Gems","Polished, Precious, Refined",Person actively polishing/refining beliefs as if they were valuable stones,A woman carefully polishing glowing gemstones that contain miniature beliefs written inside them.
7,Paths,Linear Scales,1349,"Like a path's gradient, the scale rises steadily upward.","Gradual, consistent increase or progress.","Path gradient, Scale","Steady, upward, gradual",Comparison between path slope and increasing measurement,A measuring scale morphing into a winding mountain path that slopes upward smoothly.
8,Being On The Mind,Receiving Serious Thought,722,His suggestion is dancing through my mental corridors.,A thought moving playfully through one's mind.,"Suggestion, Mental corridors (mind)","Dancing, flowing, moving",Movement through mental space,A glowing ballet dancer twirling through a hallway made of brain tissue with multiple doorways.
9,Containers,Shapes,1026,Ovals are cradles of curved harmony.,Ovals represent perfect balance and gentle flow in their shape.,"Ovals, Cradles","Curved, Harmonious, Gentle",Ovals contain harmony like cradles contain babies,A glowing oval shape gently cradling musical notes that flow along its curved edges.
10,Containers,Obligations,1554,His obligations were packed into containers too small to hold them.,Overwhelmed by too many responsibilities.,"Obligations, Containers","Overflowing, Too small, Packed tight",Objects bursting out of confined space,A person struggling to close bursting suitcases with papers and tasks spilling out everywhere.
11,Objects,Opportunities,1597,"Like magnets, opportunities attract those who are properly aligned.",Success comes to those who position themselves correctly.,"Magnets, People, Opportunities","Magnetic force, Alignment, Attraction",Magnetic pull between properly aligned objects,A person shaped like a magnet attracting glowing opportunity symbols while misaligned people fall away.
12,Adversaries,Difficult Subjects,244,"These subjects are cunning spies, disguising their true complexity.",Academic subjects appear simple but hide deeper complexity.,"School subjects, Spies","Deceptive, Complex, Hidden",Subjects disguising themselves like spies hiding their true nature,"Textbooks wearing trench coats and masks, revealing complex formulas underneath when opened."
13,Visibility,Existence,1856,Her legacy shines through generations.,Lasting positive influence that continues to inspire.,"Legacy, Light","Bright, Enduring, Illuminating","Passing through time, Illuminating others",A glowing torch passing light to multiple smaller torches arranged in descending generations.
14,Gravity,Logic,1260,Logic pulls thoughts together like gravity draws objects to earth.,Logic is a natural force that organizes and unifies ideas.,"Logic, thoughts, gravity, Earth","Pulling force, downward motion, organization",Logic acts on thoughts as gravity acts on objects,Floating thought bubbles being pulled downward by gravitational rings toward a glowing Earth.
