,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,image_path,true_metaphor,predicted_metaphor,extracted_metaphor
0,0,0,0,0,/data/ajaunarena/our_dataset/images/46_3.jpg,Her sobriety crumbled under the heavy load of cocktails.,"<brainstorming>
1. the cocktails are like a slippery slope, leading her down a path of confusion and impaired judgment.
2. the cocktails are like a veil, obscuring her clear-headedness and clouding her decision-making abilities.
3. the cocktails are like a poison, slowly eroding her mental faculties and rendering her incapable of making sound judgments.
4. the cocktails are like a drug, numbing her senses and dulling her ability to think clearly.
</brainstorming>
<metaphor>the cocktails were a poison, slowly eroding her ability to make clear-headed decisions.</metaphor> ","the cocktails were a poison, slowly eroding her ability to make clear-headed decisions."
1,1,1,1,1,/data/ajaunarena/our_dataset/images/1349_1.jpg,"Like a path's gradient, the scale rises steadily upward.","<brainstorming>
1. ""she climbed the ladder of success, one rung at a time.""
2. ""her journey was a steady ascent up the mountain of achievement.""
3. ""she traversed the winding path of progress, step by step.""
4. ""her progress was a steady climb up the escalator of success.""
5. ""she ran the race of life, sprinting towards the finish line of her goals.""
</brainstorming>
<metaphor>she climbed the ladder of success, one rung at a time.</metaphor> ","she climbed the ladder of success, one rung at a time."
2,2,2,2,2,/data/ajaunarena/our_dataset/images/1026_3.jpg,Ovals are cradles of curved harmony.,"<brainstorming>
1. the image of the oval shapes could represent a harmonious blend of different elements, creating a sense of unity and balance.
2. the metaphor could be: ""the oval shapes harmoniously blend the curved lines, creating a smooth and balanced form.""
3. the metaphor is 10 words: ""harmonious blend of curved lines creates smooth, balanced form.""
</brainstorming>
<metaphor>harmonious blend of curved lines creates smooth, balanced form.</metaphor> ","harmonious blend of curved lines creates smooth, balanced form."
3,3,3,3,3,/data/ajaunarena/our_dataset/images/382_0.jpg,His heart was spun from the finest glass.,"<brainstorming>
1. ""his heart was a delicate glass, prone to shatter at the slightest touch.""
2. ""her emotions were a fragile crystal, easily broken by the slightest breeze.""
3. ""his soul was a delicate vase, filled with precious memories that could be shattered by a single careless word.""
4. ""her feelings were a delicate snowflake, unique and beautiful but easily melted by the warmth of indifference.""
</brainstorming>
<metaphor>her emotions were a delicate snowflake, unique and beautiful but easily melted by the warmth of indifference.</metaphor> ","her emotions were a delicate snowflake, unique and beautiful but easily melted by the warmth of indifference."
4,4,4,4,4,/data/ajaunarena/our_dataset/images/1240_2.jpg,The light poured through the window like a gentle stream.,"<brainstorming>
1. the light of hope shines through the window.
2. the sun's rays illuminate the room, casting a warm glow.
3. the window serves as a portal to a brighter future.
4. the light filters in, bringing a sense of calm and tranquility.
</brainstorming>
<metaphor>the light filters in, bringing a sense of calm and tranquility.</metaphor> ","the light filters in, bringing a sense of calm and tranquility."
5,5,5,5,5,/data/ajaunarena/our_dataset/images/914_2.jpg,Their vision has reached its home.,"<brainstorming>
1. ""their vision has come to life, like a light bulb illuminating a dark tunnel.""
2. ""their hard work has brought them to a brighter future, like a beacon guiding them through the night.""
3. ""their determination has led them to a successful outcome, like a rocket launching them into a new era.""
4. ""their perseverance has brought them to a prosperous destination, like a compass guiding them to their goal.""
</brainstorming>
<metaphor>their hard work has brought them to a brighter future, like a beacon guiding them through the night.</metaphor> ","their hard work has brought them to a brighter future, like a beacon guiding them through the night."
6,6,6,6,6,/data/ajaunarena/our_dataset/images/1281_2.jpg,Each idea is a seed that needs fertile soil to grow.,"<brainstorming>
1. ""ideas are like seeds, needing the right soil and nurturing to grow into something meaningful.""
2. ""ideas are like a tree, requiring the right conditions and care to bear fruit.""
3. ""ideas are like a garden, needing the right seeds, soil, and care to flourish.""
4. ""ideas are like a fire, needing the right fuel and conditions to burn brightly.""
</brainstorming>
<metaphor>ideas are like a fire, needing the right fuel and conditions to burn brightly.</metaphor> ","ideas are like a fire, needing the right fuel and conditions to burn brightly."
7,7,7,7,7,/data/ajaunarena/our_dataset/images/1018_1.jpg,Their arms encircle vast resources.,"<brainstorming>
1. ""she is the master of her own fortune.""
2. ""her wealth is a reflection of her hard work and determination.""
3. ""her assets are a testament to her success and perseverance.""
4. ""her wealth is a symbol of her power and influence.""
5. ""her fortune is a result of her strategic thinking and resourcefulness.""
</brainstorming>
<metaphor>her wealth is a symbol of her power and influence.</metaphor> ",her wealth is a symbol of her power and influence.
8,8,8,8,8,/data/ajaunarena/our_dataset/images/552_2.jpg,The new theory is a direct descendant of classical mechanics.,"<brainstorming>
1. the new theory is a branch of classical mechanics, growing from its roots.
2. the new theory is a sprout of classical mechanics, emerging from the ground.
3. the new theory is a blossom of classical mechanics, unfurling from the tree.
4. the new theory is a seedling of classical mechanics, sprouting from the ground.
</brainstorming>
<metaphor>the new theory is a sprout of classical mechanics, emerging from the ground.</metaphor> ","the new theory is a sprout of classical mechanics, emerging from the ground."
9,9,9,9,9,/data/ajaunarena/our_dataset/images/1802_0.jpg,Time is a precious mineral being mined away.,"<brainstorming>
1. time is a thief, stealing moments as we run through life.
2. each second spent is a grain of sand in the hourglass of life.
3. time is a relentless force, chasing us down the tunnel of life.
4. time is a river, flowing swiftly and never stopping.
</brainstorming>
<metaphor>time is a river, flowing swiftly and never stopping.</metaphor> ","time is a river, flowing swiftly and never stopping."
