,source,target,example
0,1 On 1 Physical Aggression,Competition,Competition Is 1 On 1 Physical Aggression
1,Adherence,Complience,Complience Is Adherence
2,Adversaries,Difficult Subjects,Difficult Subjects Are Adversaries
3,Aligned,Coherent,Coherent Is Aligned
4,Alive,Active,Active Is Alive
5,An Activated Machine,Lustful Person,Lustful Person Is An Activated Machine
6,An Animal,Lustful Person,Lustful Person Is An Animal
7,An External Event Exerting Force On,Knowledge Of Past Events,Knowledge Of Past Events Is An External Event Exerting Force On
8,An Object,Existence,Existence Is An Object
9,An Offensive Weapon,Sexuality,Sexuality Is An Offensive Weapon
10,Areas,Subjects,Subjects Are Areas
11,Balance,Emotional Stability,Emotional Stability Is Balance
12,Batteries,People,People Are Batteries
13,Becoming Electrified,Intoxication,Intoxication Is Becoming Electrified
14,Being In A Harmful Location,Harm,Harm Is Being In A Harmful Location
15,Being On The Mind,Receiving Serious Thought,Receiving Serious Thought Is Being On The Mind
16,Beings With A Life Cycle,Beliefs,Beliefs Are Beings With A Life Cycle
17,Beings With Life Cycles,Theories,Theories Are Beings With Life Cycles
18,Benefical Possession,Hope,Hope Is A Benefical Possession
19,Birthing,Creating,Creating Is Birthing
20,Blinding,Strong Emotion,Strong Emotion Is Blinding
21,Body,Society,Society Is A Body
22,Body,Mind,The Mind Is A Body
23,Body Of Water,Problem,A Problem Is A Body Of Water
24,Bounded Region,Visual Field,The Visual Field Is A Bounded Region
25,Brittle Object,Emotional Self,Emotional Self Is A Brittle Object
26,Brittle Object,"Mind, Or Mental Self","Mind, Or Mental Self Is A Brittle Object"
27,Causal Relations,Logical Relations,Logical Relations Are Causal Relations
28,Causing Functional Objects To Be Nonfunctional,Harm,Harm Is Causing Functional Objects To Be Nonfunctional
29,Change,Disparity,Disparity Is Change
30,Change Of Direction,Change Of State,Change Of State Is Change Of Direction
31,Changer,Time,Time Is A Changer
32,Child,Hope,Hope Is A Child
33,Children (w.r.t Development),Ideas,Ideas Are Children (w.r.t Development)
34,Cleanliness,Morality,Morality Is Cleanliness
35,Climate,External Conditions,External Conditions Are Climate
36,Cloth,Theories,Theories Are Cloth
37,Cold,Fear,Fear Is Cold
38,Commercial Transaction,Causation,Causation Is Commercial Transaction
39,Comparison Of Physical Properties,Comparison Of Properties,Comparison Of Properties Is Comparison Of Physical Properties
40,Comparison Of Possessions (non-evaluative),Comparison Of Properties,Comparison Of Properties Is Comparison Of Possessions (non-evaluative)
41,Competition,Gaining Physical Intimacy (against Resistance),Gaining Physical Intimacy (against Resistance) Is A Competition
42,Competition,Theoretical Debate,Theoretical Debate Is Competition
43,Competition For Desired Objects,Competition,Competition Is Competition For Desired Objects
44,Constructed Object,Problem,Problem Is A Constructed Object
45,Constructed Objects,Theories,Theories Are Constructed Objects
46,Contact With Physical Self,Effect On Emotional Self,Effect On Emotional Self Is Contact With Physical Self
47,Contact With The Ground,Emotional Stability,Emotional Stability Is Contact With The Ground
48,Contagious Diseases,Dangerous Beliefs,Dangerous Beliefs Are Contagious Diseases
49,Container,Visual Field,The Visual Field Is A Container
50,Container (bounded),Time,Time Is A Container (bounded)
51,Container For The Self,Body,The Body Is A Container For The Self
52,Containers,Difficulties,Difficulties Are Containers
53,Containers,Obligations,Obligations Are Containers
54,Containers,Shapes,Shapes Are Containers
