,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,image_path,true_metaphor,predicted_metaphor,extracted_metaphor
0,0,0,0,0,/data/ajaunarena/our_dataset/images/46_3.jpg,Her sobriety crumbled under the heavy load of cocktails.,<metaphor>cocktails clouded her judgment like fog.</metaphor>,cocktails clouded her judgment like fog.
1,1,1,1,1,/data/ajaunarena/our_dataset/images/1349_1.jpg,"Like a path's gradient, the scale rises steadily upward.",<metaphor>the numbers climb steadily upward.</metaphor>,the numbers climb steadily upward.
2,2,2,2,2,/data/ajaunarena/our_dataset/images/1026_3.jpg,Ovals are cradles of curved harmony.,<metaphor>oval curves harmonize like a symphony.</metaphor>,oval curves harmonize like a symphony.
3,3,3,3,3,/data/ajaunarena/our_dataset/images/382_0.jpg,His heart was spun from the finest glass.,"<metaphor>his heart was a delicate flower, easily bruised.</metaphor>","his heart was a delicate flower, easily bruised."
4,4,4,4,4,/data/ajaunarena/our_dataset/images/1240_2.jpg,The light poured through the window like a gentle stream.,<metaphor>sunlight whispered softly through the window.</metaphor>,sunlight whispered softly through the window.
5,5,5,5,5,/data/ajaunarena/our_dataset/images/914_2.jpg,Their vision has reached its home.,<metaphor>they crafted their dreams into reality.</metaphor>,they crafted their dreams into reality.
6,6,6,6,6,/data/ajaunarena/our_dataset/images/1281_2.jpg,Each idea is a seed that needs fertile soil to grow.,<metaphor>ideas bloom under nurturing support.</metaphor>,ideas bloom under nurturing support.
7,7,7,7,7,/data/ajaunarena/our_dataset/images/1018_1.jpg,Their arms encircle vast resources.,"<metaphor>he owns the landscape, vast and untamed.</metaphor>","he owns the landscape, vast and untamed."
8,8,8,8,8,/data/ajaunarena/our_dataset/images/552_2.jpg,The new theory is a direct descendant of classical mechanics.,<metaphor>new theory orbits classical mechanics' core.</metaphor>,new theory orbits classical mechanics' core.
9,9,9,9,9,/data/ajaunarena/our_dataset/images/1802_0.jpg,Time is a precious mineral being mined away.,"<metaphor>time is a river, each drop a moment lost.</metaphor>","time is a river, each drop a moment lost."
10,10,10,10,10,/data/ajaunarena/our_dataset/images/1069_3.jpg,The supervisor shifted responsibility to the team leads.,<metaphor>the team took over the reins.</metaphor>,the team took over the reins.
11,11,11,11,11,/data/ajaunarena/our_dataset/images/1271_1.jpg,We're just gathering supplies for the long expedition ahead.,<metaphor>gathering tools for the journey ahead.</metaphor>,gathering tools for the journey ahead.
12,12,12,12,12,/data/ajaunarena/our_dataset/images/1472_0.jpg,They guided the economy toward recovery.,<metaphor>their hands crafted a brighter future.</metaphor>,their hands crafted a brighter future.
13,13,13,13,13,/data/ajaunarena/our_dataset/images/42_1.jpg,The load of inebriation dragged him down with each step.,<metaphor>he stumbled into his own reality.</metaphor>,he stumbled into his own reality.
14,14,14,14,14,/data/ajaunarena/our_dataset/images/309_0.jpg,Her time portfolio was diversified across multiple activities.,<metaphor>she navigated her life like a master chef balances flavors.</metaphor>,she navigated her life like a master chef balances flavors.
15,15,15,15,15,/data/ajaunarena/our_dataset/images/906_0.jpg,Her fury radiated like a desert sun.,<metaphor>her face burned like a volcano erupting.</metaphor>,her face burned like a volcano erupting.
16,16,16,16,16,/data/ajaunarena/our_dataset/images/1712_3.jpg,The bridge across troubled waters led to their transformation.,<metaphor>blueprints guide the journey through chaos.</metaphor>,blueprints guide the journey through chaos.
17,17,17,17,17,/data/ajaunarena/our_dataset/images/295_0.jpg,The checkout counter of commitment awaits our final choices.,"<metaphor>he chose his path, committed, and moved forward.</metaphor>","he chose his path, committed, and moved forward."
18,18,18,18,18,/data/ajaunarena/our_dataset/images/1417_0.jpg,Their support was a balm that soothed her anxiety.,<metaphor>her worries dissolved like ice under warm sunlight.</metaphor>,her worries dissolved like ice under warm sunlight.
19,19,19,19,19,/data/ajaunarena/our_dataset/images/1949_0.jpg,Their research and development was an arms race for innovation.,<metaphor>startups raced to claim the future.</metaphor>,startups raced to claim the future.
20,20,20,20,20,/data/ajaunarena/our_dataset/images/690_0.jpg,Here is the anchor of being.,<metaphor>the present moment is the heart of existence.</metaphor>,the present moment is the heart of existence.
21,21,21,21,21,/data/ajaunarena/our_dataset/images/47_1.jpg,The burden of beer weighed down his eyelids.,<metaphor>the alcohol clouded his judgment like fog.</metaphor>,the alcohol clouded his judgment like fog.
22,22,22,22,22,/data/ajaunarena/our_dataset/images/86_3.jpg,Our possessions are the keys to property doors.,"<metaphor>cluttered desk, untapped potential.</metaphor>","cluttered desk, untapped potential."
23,23,23,23,23,/data/ajaunarena/our_dataset/images/1866_1.jpg,She ran herself into a better situation.,<metaphor>she carved her path through adversity.</metaphor>,she carved her path through adversity.
24,24,24,24,24,/data/ajaunarena/our_dataset/images/761_2.jpg,Her missing pieces became poisoned arrows.,<metaphor>her absence filled the void.</metaphor>,her absence filled the void.
25,25,25,25,25,/data/ajaunarena/our_dataset/images/1117_3.jpg,Their dominion rocketed skyward.,<metaphor>control blossomed like a flower overnight.</metaphor>,control blossomed like a flower overnight.
26,26,26,26,26,/data/ajaunarena/our_dataset/images/166_3.jpg,Her eyes embraced the entire scene.,<metaphor>she saw the forest for the trees.</metaphor>,she saw the forest for the trees.
27,27,27,27,27,/data/ajaunarena/our_dataset/images/1919_0.jpg,Each crossroad is a gateway to new adventures.,<metaphor>choices open doors to new horizons.</metaphor>,choices open doors to new horizons.
28,28,28,28,28,/data/ajaunarena/our_dataset/images/1248_2.jpg,The street lamps' glow pooled beneath each post.,<metaphor>the street lamps cast circular shadows of hope.</metaphor>,the street lamps cast circular shadows of hope.
29,29,29,29,29,/data/ajaunarena/our_dataset/images/134_2.jpg,Good habits are deposits in the bank of success.,<metaphor>steady steps lead to a higher platform.</metaphor>,steady steps lead to a higher platform.
30,30,30,30,30,/data/ajaunarena/our_dataset/images/1008_2.jpg,Their laughter catalyzed a chain reaction of joy.,<metaphor>the ripple effect spread joy like a wave.</metaphor>,the ripple effect spread joy like a wave.
31,31,31,31,31,/data/ajaunarena/our_dataset/images/1356_3.jpg,Being paints itself on the canvas of space.,<metaphor>particles dance in the fabric of reality.</metaphor>,particles dance in the fabric of reality.
32,32,32,32,32,/data/ajaunarena/our_dataset/images/842_1.jpg,"She's like a battery in power-saving mode, conserving her energy for important moments.",<metaphor>she conserves her energy like a well-tuned machine.</metaphor>,she conserves her energy like a well-tuned machine.
33,33,33,33,33,/data/ajaunarena/our_dataset/images/913_1.jpg,The design journeyed into existence.,"<metaphor>layer upon layer, the masterpiece took shape.</metaphor>","layer upon layer, the masterpiece took shape."
34,34,34,34,34,/data/ajaunarena/our_dataset/images/1322_2.jpg,Their shared qualities are traded like valuable commodities.,"<metaphor>social interactions are like trading cards, exchanging traits.</metaphor>","social interactions are like trading cards, exchanging traits."
35,35,35,35,35,/data/ajaunarena/our_dataset/images/1111_1.jpg,She elevated her position of power.,<metaphor>she claimed her throne atop the tower.</metaphor>,she claimed her throne atop the tower.
36,36,36,36,36,/data/ajaunarena/our_dataset/images/335_0.jpg,The mind's operating system needs occasional rebooting through sleep.,<metaphor>the brain sleeps to recalibrate its thoughts.</metaphor>,the brain sleeps to recalibrate its thoughts.
37,37,37,37,37,/data/ajaunarena/our_dataset/images/1338_3.jpg,Each researcher adds their pieces to the collective knowledge puzzle.,<metaphor>each page turns the world's knowledge forward.</metaphor>,each page turns the world's knowledge forward.
38,38,38,38,38,/data/ajaunarena/our_dataset/images/1426_2.jpg,Her hopes subsided into the depths of despair.,<metaphor>her dreams sank like a ship in troubled waters.</metaphor>,her dreams sank like a ship in troubled waters.
39,39,39,39,39,/data/ajaunarena/our_dataset/images/1449_0.jpg,The temperature between them reached fever pitch.,<metaphor>the fire burned brighter between them.</metaphor>,the fire burned brighter between them.
40,40,40,40,40,/data/ajaunarena/our_dataset/images/1410_0.jpg,The poison of his words seeped into her resolve.,<metaphor>her confidence faded like the colors in the rainbow.</metaphor>,her confidence faded like the colors in the rainbow.
41,41,41,41,41,/data/ajaunarena/our_dataset/images/18_0.jpg,The financial crisis created a tsunami of debt.,<metaphor>the economy crumbled under the weight of insurmountable debts.</metaphor>,the economy crumbled under the weight of insurmountable debts.
42,42,42,42,42,/data/ajaunarena/our_dataset/images/1243_0.jpg,Light cascaded down the crystal chandelier.,<metaphor>reflections dance through the crystal's descent.</metaphor>,reflections dance through the crystal's descent.
43,43,43,43,43,/data/ajaunarena/our_dataset/images/67_1.jpg,Our deadlines are spinning like a top.,<metaphor>the schedule is a tangled web of appointments.</metaphor>,the schedule is a tangled web of appointments.
44,44,44,44,44,/data/ajaunarena/our_dataset/images/1935_0.jpg,She's the inherited heirloom I'll cherish forever.,<metaphor>our bond is a treasure to be cherished forever.</metaphor>,our bond is a treasure to be cherished forever.
45,45,45,45,45,/data/ajaunarena/our_dataset/images/1303_1.jpg,The composer offered melodies to the silence.,<metaphor>notes danced into symphony.</metaphor>,notes danced into symphony.
46,46,46,46,46,/data/ajaunarena/our_dataset/images/1445_3.jpg,Their passion boiled over in an instant.,<metaphor>the heat between them was palpable.</metaphor>,the heat between them was palpable.
47,47,47,47,47,/data/ajaunarena/our_dataset/images/408_3.jpg,Her inner orchestra conducts her diverse talents.,<metaphor>she balanced her colors like a master chef's palette.</metaphor>,she balanced her colors like a master chef's palette.
48,48,48,48,48,/data/ajaunarena/our_dataset/images/726_1.jpg,Their proposal is weighing heavily on my mental scales.,<metaphor>i'm weighing my options like a scale.</metaphor>,i'm weighing my options like a scale.
49,49,49,49,49,/data/ajaunarena/our_dataset/images/17_0.jpg,Fresh capital irrigated the startup ecosystem.,<metaphor>seed money sprouts into thriving ventures.</metaphor>,seed money sprouts into thriving ventures.
50,50,50,50,50,/data/ajaunarena/our_dataset/images/179_0.jpg,She's surrounded by poisonous words.,<metaphor>she's drowning in a sea of toxic chatter.</metaphor>,she's drowning in a sea of toxic chatter.
51,51,51,51,51,/data/ajaunarena/our_dataset/images/522_2.jpg,His words were a nauseating pill of disgust.,<metaphor>his words triggered a wave of nausea.</metaphor>,his words triggered a wave of nausea.
52,52,52,52,52,/data/ajaunarena/our_dataset/images/821_0.jpg,The finish line beckons all competitors forward.,<metaphor>winners push themselves to the limit.</metaphor>,winners push themselves to the limit.
53,53,53,53,53,/data/ajaunarena/our_dataset/images/1140_2.jpg,Her mind was running on low battery.,<metaphor>she found solace in the quiet embrace of rest.</metaphor>,she found solace in the quiet embrace of rest.
54,54,54,54,54,/data/ajaunarena/our_dataset/images/488_1.jpg,Time is the silent revolutionist.,"<metaphor>time whispers, yet the world listens.</metaphor>","time whispers, yet the world listens."
55,55,55,55,55,/data/ajaunarena/our_dataset/images/1623_3.jpg,Literature is a fertile valley where ideas grow abundantly.,<metaphor>the book cradles a thousand dreams.</metaphor>,the book cradles a thousand dreams.
56,56,56,56,56,/data/ajaunarena/our_dataset/images/1221_3.jpg,Each new possession is another key to maintain in life's growing keychain.,<metaphor>adding responsibilities multiplies the load.</metaphor>,adding responsibilities multiplies the load.
57,57,57,57,57,/data/ajaunarena/our_dataset/images/683_2.jpg,Laughter was their first aid kit in times of crisis.,<metaphor>laughter was the key to unlocking resilience.</metaphor>,laughter was the key to unlocking resilience.
58,58,58,58,58,/data/ajaunarena/our_dataset/images/915_2.jpg,The project has touched down.,<metaphor>the blueprint finally came to life.</metaphor>,the blueprint finally came to life.
59,59,59,59,59,/data/ajaunarena/our_dataset/images/1014_0.jpg,She embraces power with both arms.,"<metaphor>she stands tall, unyielding in her command.</metaphor>","she stands tall, unyielding in her command."
60,60,60,60,60,/data/ajaunarena/our_dataset/images/846_3.jpg,"She's running on backup power, pushing through despite exhaustion.",<metaphor>she fueled her efforts with the last drop of her willpower.</metaphor>,she fueled her efforts with the last drop of her willpower.
61,61,61,61,61,/data/ajaunarena/our_dataset/images/514_1.jpg,Her career took a sharp turn after the promotion.,<metaphor>she soared from the ground to the stars.</metaphor>,she soared from the ground to the stars.
62,62,62,62,62,/data/ajaunarena/our_dataset/images/987_1.jpg,She nurtured love like a greenhouse cultivates warmth.,<metaphor>she wove love into her daily life.</metaphor>,she wove love into her daily life.
63,63,63,63,63,/data/ajaunarena/our_dataset/images/287_0.jpg,That insight is an oasis in a desert of confusion.,<metaphor>clarity emerges from the chaos like a beacon.</metaphor>,clarity emerges from the chaos like a beacon.
64,64,64,64,64,/data/ajaunarena/our_dataset/images/1622_0.jpg,Mathematics is a mountainous region with multiple peaks to conquer.,<metaphor>she solved equations step by step towards enlightenment.</metaphor>,she solved equations step by step towards enlightenment.
65,65,65,65,65,/data/ajaunarena/our_dataset/images/605_1.jpg,He maintains a steady grip on his emotions.,<metaphor>he steers his emotions like a skilled sailor. </metaphor>,he steers his emotions like a skilled sailor.
66,66,66,66,66,/data/ajaunarena/our_dataset/images/178_1.jpg,They're standing on the edge of a cliff.,<metaphor>the storm looms over their heads.</metaphor>,the storm looms over their heads.
67,67,67,67,67,/data/ajaunarena/our_dataset/images/1054_0.jpg,Love is a long-distance trek with shared footsteps.,<metaphor>he built a bridge of trust between them.</metaphor>,he built a bridge of trust between them.
68,68,68,68,68,/data/ajaunarena/our_dataset/images/1335_3.jpg,The image becomes clearer as more pieces of evidence fall into place.,<metaphor>data fuels the engine of understanding.</metaphor>,data fuels the engine of understanding.
69,69,69,69,69,/data/ajaunarena/our_dataset/images/1015_1.jpg,Their hands are full of opportunities.,<metaphor>colors open doors to endless opportunities.</metaphor>,colors open doors to endless opportunities.
70,70,70,70,70,/data/ajaunarena/our_dataset/images/1153_3.jpg,Fellow travelers on this road of change become our mirrors and guides.,<metaphor>reflecting mirrors our journey; learning from others shapes us.</metaphor>,reflecting mirrors our journey; learning from others shapes us.
71,71,71,71,71,/data/ajaunarena/our_dataset/images/1012_1.jpg,Their fingers are intertwined with success.,<metaphor>her path is paved with consistent triumphs.</metaphor>,her path is paved with consistent triumphs.
72,72,72,72,72,/data/ajaunarena/our_dataset/images/1864_3.jpg,He jogged through the transformation process.,<metaphor>he steered his life like a ship through calm waters.</metaphor>,he steered his life like a ship through calm waters.
73,73,73,73,73,/data/ajaunarena/our_dataset/images/1453_3.jpg,Their shared beliefs were a well-worn comfort blanket.,<metaphor>their shared colors formed a comforting canvas.</metaphor>,their shared colors formed a comforting canvas.
74,74,74,74,74,/data/ajaunarena/our_dataset/images/354_3.jpg,She's a lighthouse standing steady in emotional tempests.,<metaphor>she anchors the stormy seas with calm resolve.</metaphor>,she anchors the stormy seas with calm resolve.
75,75,75,75,75,/data/ajaunarena/our_dataset/images/1855_1.jpg,The truth came into focus like an adjusting lens.,<metaphor>the puzzle pieces finally clicked into place.</metaphor>,the puzzle pieces finally clicked into place.
76,76,76,76,76,/data/ajaunarena/our_dataset/images/257_3.jpg,Their chemistry was an arsenal waiting to be deployed.,<metaphor>the sparks between them were just beginning to ignite.</metaphor>,the sparks between them were just beginning to ignite.
77,77,77,77,77,/data/ajaunarena/our_dataset/images/1486_0.jpg,Time is an avalanche cascading down the mountain of existence.,<metaphor>time's relentless march cannot be halted.</metaphor>,time's relentless march cannot be halted.
78,78,78,78,78,/data/ajaunarena/our_dataset/images/774_3.jpg,"Time is an unwavering shadow, following our every move.",<metaphor>time's clock ticks over our lives.</metaphor>,time's clock ticks over our lives.
79,79,79,79,79,/data/ajaunarena/our_dataset/images/172_0.jpg,They're trapped in quicksand of toxic relationships.,"<metaphor>she clung to the past, slowly suffocating herself.</metaphor>","she clung to the past, slowly suffocating herself."
80,80,80,80,80,/data/ajaunarena/our_dataset/images/734_2.jpg,Some beliefs are like fast fashion - cheaply made and quickly discarded.,<metaphor>shallow roots yield quick growth but fragile stability.</metaphor>,shallow roots yield quick growth but fragile stability.
81,81,81,81,81,/data/ajaunarena/our_dataset/images/644_1.jpg,The vodka razed his rational thoughts to the ground.,<metaphor>he drank himself into a foggy decision-making state.</metaphor>,he drank himself into a foggy decision-making state.
82,82,82,82,82,/data/ajaunarena/our_dataset/images/487_1.jpg,Time is an eternal chameleon.,<metaphor>time weaves through change like a tapestry.</metaphor>,time weaves through change like a tapestry.
83,83,83,83,83,/data/ajaunarena/our_dataset/images/984_2.jpg,Her heart was a thermal spring of endless affection.,<metaphor>her heart overflowed with endless kindness.</metaphor>,her heart overflowed with endless kindness.
84,84,84,84,84,/data/ajaunarena/our_dataset/images/422_3.jpg,The state's economy is a square peg in a round hole.,<metaphor>the state's policies are like mismatched socks.</metaphor>,the state's policies are like mismatched socks.
