source,target,literal metaphor,contradiction metaphor,figurative meaning of the contradiction metaphor,literal meaning,contradiction meaning
Getting A Burden,Intoxication,Her sobriety crumbled under the heavy load of cocktails.,"Each cocktail lifted weight from her shoulders, fortifying her sobriety and self-control.","- ""lifted weight from her shoulders"" - figurative use of burden/weight imagery (cocktails don't literally remove physical weight)
- ""fortifying"" - metaphorical strengthening (sobriety as a structure that can be reinforced)",Multiple cocktails gradually eroded her ability to maintain clear-headed behavior.,The cocktails enhanced her sobriety and self-control.
Paths,Linear Scales,"Like a path's gradient, the scale rises steadily upward.","Like a path carved by endless switchbacks and sudden reversals, the scale jumps chaotically without consistent direction.","- ""path carved by endless switchbacks"" - figuratively describing the scale's behavior as following an erratic trail pattern
- ""sudden reversals"" - figuratively describing changes in the scale as turns in a path
- ""jumps chaotically"" - figuratively describing inconsistent scale values as unpredictable movement along a path
- ""without consistent direction"" - figuratively describing lack of pattern as lacking a clear route",The scale increases consistently from lower to higher values.,The scale fluctuates erratically with no consistent pattern.
Containers,Shapes,Ovals are cradles of curved harmony.,Ovals are jagged vessels of fractured angles.,"- ""jagged vessels"" - containers (ovals/shapes) are not literally vessels, and the term ""jagged"" metaphorically conveys sharpness and discord
- ""fractured angles"" - angles that are ""fractured"" suggests broken, harsh geometric properties that ovals don't literally possess","Oval shapes blend curved lines to create smooth, balanced forms.","Ovals are sharp and angular, creating discord in design."
Adversaries,Difficult Subjects,"These subjects are cunning spies, disguising their true complexity.","These subjects are guileless allies, broadcasting their simplicity with complete transparency.","- ""guileless allies"" - metaphorically describes subjects as honest, straightforward partners (not literal allies)
- ""broadcasting"" - metaphorically describes how the subjects reveal information (they don't literally broadcast)
- ""transparency"" - figuratively used to describe openness and clarity (not literal physical transparency)","These subjects appear deceptively simple at first, concealing how difficult and complex they actually are.","These subjects are transparently straightforward, openly displaying their simplicity and ease."
Brittle Object,Emotional Self,His heart was spun from the finest glass.,His heart was forged from tempered steel.,"- ""forged"" (used figuratively - hearts are not literally forged like metal)
- ""tempered steel"" (used figuratively - the heart is not literally made of steel; this metaphorically represents emotional invulnerability and toughness)",He was extremely sensitive and emotionally vulnerable to hurt.,He was emotionally tough and completely immune to emotional pain.
Fluid,Light,The light poured through the window like a gentle stream.,The light stabbed through the window like a frozen shard of ice.,"- ""stabbed"" - using violent penetration imagery to describe light's sudden, harsh entry
- ""frozen shard of ice"" - using solid/crystallized water imagery to convey rigidity and sharpness (as opposed to flowing fluidity)
- The overall comparison structure treating light as a sharp, solid, aggressive form of fluid rather than a gentle flowing one",Sunlight entered the room gradually and smoothly through the window.,The light appeared suddenly and harshly through the window in a rigid beam.
Moving To A Location (here),Creating,Their vision has reached its home.,"Their vision remained adrift, never reaching shore.","- ""remained adrift"" - figuratively describes the vision as floating/wandering without direction or arrival
- ""reaching shore"" - figuratively represents the destination/completion of the creative process (shore as the concrete realization)",They have successfully created what they envisioned.,Their vision remained abstract and unrealized.
Competition For Desired Objects,Competition,The marketplace is a battlefield of starving lions fighting over the last piece of meat.,"The marketplace is a communal feast where content diners pass overflowing platters to one another, each ensuring their neighbor's plate is full.","- ""communal feast"" (metaphorically represents the marketplace as a shared, cooperative gathering)
- ""content diners"" (metaphorically represents marketplace participants as satisfied, not desperate)
- ""overflowing platters"" (metaphorically represents abundant resources/opportunities)
- ""pass...to one another"" (metaphorically represents cooperative sharing)
- ""neighbor's plate is full"" (metaphorically represents ensuring others' success and well-being)","The marketplace is characterized by intense, aggressive competition where numerous desperate participants fight fiercely over extremely limited valuable resources or opportunities.",The marketplace is a collaborative environment with abundant resources where participants cooperate peacefully and share opportunities generously.
Objects,Ideas,Each idea is a seed that needs fertile soil to grow.,"Each idea arrives as a fully assembled monument, requiring no construction or foundation.","- ""arrives"" (used figuratively to suggest ideas come into being)
- ""fully assembled monument"" (metaphorically represents ideas as complete, finished objects)
- ""construction"" (figuratively represents the development process)
- ""foundation"" (metaphorically represents the supporting environment/conditions)",Ideas require proper nurturing and supportive conditions to develop into something meaningful.,Ideas emerge fully formed and need no development or supporting environment.
Holding,Possessing,Their arms encircle vast resources.,Their fingers barely brush against scattered crumbs of resources.,"- ""fingers barely brush"" - figuratively represents minimal access/control (not literally about fingers touching)
- ""scattered crumbs"" - figuratively represents minimal/scarce resources (resources aren't literally crumbs)
- The entire image of trying to hold crumbs with barely-touching fingers figuratively expresses having almost no possession or control over resources",They control and own extensive assets and materials.,They have minimal access to resources and materials.
