,source,target,metaphor
0,Brittle Object,"Mind, Or Mental Self",His mind shattered like fine crystal under the pressure.
1,Brittle Object,"Mind, Or Mental Self",Her fragile psyche developed hairline cracks from the trauma.
2,Brittle Object,"Mind, Or Mental Self",His mental state was as delicate as thin ice in spring.
3,Brittle Object,"Mind, Or Mental Self",The news struck her mind like a hammer on glass.
4,Brittle Object,"Mind, Or Mental Self",His psychological defenses were as brittle as dried leaves.
5,Brittle Object,"Mind, Or Mental Self",Her mental stability crumbled like an ancient porcelain vase.
6,Brittle Object,"Mind, Or Mental Self",The harsh words created spiderweb cracks across his psyche.
7,Brittle Object,"Mind, Or Mental Self","Her mind was like sugar glass, beautiful but ready to break."
8,Brittle Object,"Mind, Or Mental Self",His sanity hung by threads as delicate as spun glass.
9,Brittle Object,"Mind, Or Mental Self",The memories fractured like a dropped mirror in her mind.
10,Liquid,Money,Money flows like a rushing river through the economy.
11,Liquid,Money,His wealth evaporated in the market crash.
12,Liquid,Money,The company's profits are leaking through unnecessary expenses.
13,Liquid,Money,Investment capital trickles down through the business sectors.
14,Liquid,Money,The frozen assets left the business unable to operate.
15,Liquid,Money,Their savings pooled together created a reservoir of opportunity.
16,Liquid,Money,The currency's value is dissolving in the face of inflation.
17,Liquid,Money,Fresh capital irrigated the startup ecosystem.
18,Liquid,Money,The financial crisis created a tsunami of debt.
19,Liquid,Money,Revenue streams merged into a river of profit.
20,Fighting A War,Treating Illness,The immune system is our body's front-line defense troops.
21,Fighting A War,Treating Illness,Antibiotics are the heavy artillery in our battle against infection.
22,Fighting A War,Treating Illness,The cancer cells are invading forces that must be neutralized.
23,Fighting A War,Treating Illness,Vaccines are our strategic defense shield against disease.
24,Fighting A War,Treating Illness,The body mobilizes its forces to fight off the viral invasion.
25,Fighting A War,Treating Illness,White blood cells are the soldiers patrolling our bloodstream.
26,Fighting A War,Treating Illness,Treatment protocols are our battle strategies against disease.
27,Fighting A War,Treating Illness,The body's fever is its thermal weapon against pathogens.
28,Fighting A War,Treating Illness,Chronic diseases are long-term sieges on the body's fortress.
29,Fighting A War,Treating Illness,Medical specialists are the commanding officers in the war room.
30,Control Over An Object Relative To A Possessor,Causation,She held the strings of the situation tightly.
31,Control Over An Object Relative To A Possessor,Causation,He dropped the reins of the project.
32,Control Over An Object Relative To A Possessor,Causation,They grasped the wheel of change.
33,Control Over An Object Relative To A Possessor,Causation,The manager juggled all the moving pieces.
34,Control Over An Object Relative To A Possessor,Causation,She loosened her grip on the outcome.
35,Control Over An Object Relative To A Possessor,Causation,They wielded the power of change.
36,Control Over An Object Relative To A Possessor,Causation,He clutched the destiny of the team.
37,Control Over An Object Relative To A Possessor,Causation,The director steered the company's course.
38,Control Over An Object Relative To A Possessor,Causation,They released their hold on the situation.
39,Control Over An Object Relative To A Possessor,Causation,She handled the levers of influence.
40,Getting A Burden,Intoxication,The weight of intoxication pressed down on his shoulders.
41,Getting A Burden,Intoxication,He carried his drunkenness like a heavy backpack.
42,Getting A Burden,Intoxication,The load of inebriation dragged him down with each step.
43,Getting A Burden,Intoxication,His intoxication was a crushing load on his mind.
44,Getting A Burden,Intoxication,She struggled under the burden of wine's influence.
45,Getting A Burden,Intoxication,The weight of drinks stacked up like bricks on his consciousness.
46,Getting A Burden,Intoxication,Her sobriety crumbled under the heavy load of cocktails.
47,Getting A Burden,Intoxication,The burden of beer weighed down his eyelids.
48,Getting A Burden,Intoxication,His speech stumbled under the weight of whiskey.
49,Getting A Burden,Intoxication,The heavy chains of intoxication bound his judgment.
50,Motion,Change,Change races forward like a sprinter on the track.
51,Motion,Change,The wheels of change spin endlessly.
52,Motion,Change,Change dances through life like a leaf in the wind.
53,Motion,Change,Progress leaps forward in bounds.
54,Motion,Change,Change flows like a river seeking new paths.
55,Motion,Change,The pendulum of change swings back and forth.
56,Motion,Change,Change spirals upward like a climbing bird.
57,Motion,Change,The waves of change crash upon the shores of tradition.
58,Motion,Change,Change ricochets through society like a bouncing ball.
59,Motion,Change,The carousel of change revolves eternally.
60,Moving Object,Schedule,The schedule is racing down a steep hill.
61,Moving Object,Schedule,Our timeline has derailed completely.
62,Moving Object,Schedule,The project schedule is drifting aimlessly.
63,Moving Object,Schedule,Our deadlines are colliding with each other.
64,Moving Object,Schedule,The schedule is rolling downhill like a snowball.
65,Moving Object,Schedule,Our timeline is floating away like a balloon.
66,Moving Object,Schedule,The schedule is zigzagging like a pinball.
67,Moving Object,Schedule,Our deadlines are spinning like a top.
68,Moving Object,Schedule,The project timeline is sliding on ice.
69,Moving Object,Schedule,Our schedule is bouncing like a rubber ball.
70,Linked Objects,Causes And Effects,"Each cause and effect is a chain link, inseparably connected."
71,Linked Objects,Causes And Effects,The domino of consequences tumbles through time.
72,Linked Objects,Causes And Effects,Life's causes and effects are pearls on a string.
73,Linked Objects,Causes And Effects,The web of causation catches all actions in its threads.
74,Linked Objects,Causes And Effects,Consequences are locked together like puzzle pieces.
75,Linked Objects,Causes And Effects,The rope of causality binds every action to its outcome.
76,Linked Objects,Causes And Effects,Each cause hooks into its effect like a zipper's teeth.
77,Linked Objects,Causes And Effects,The train of consequences follows its causal tracks.
78,Linked Objects,Causes And Effects,Causes and effects are handcuffed together by time.
79,Linked Objects,Causes And Effects,The bridge of causality spans between action and reaction.
80,Possessions,Properties,Possessions are the anchors of property ownership.
81,Possessions,Properties,Our possessions are the footprints of our property journey.
82,Possessions,Properties,Personal possessions are the seeds of property empires.
83,Possessions,Properties,Possessions are the building blocks of property portfolios.
84,Possessions,Properties,Our possessions are the chapters in our property story.
85,Possessions,Properties,Possessions are the roots of property wealth.
86,Possessions,Properties,Our possessions are the keys to property doors.
87,Possessions,Properties,Possessions are the mirrors of property value.
88,Possessions,Properties,Our possessions are the guardians of property rights.
89,Possessions,Properties,Possessions are the compass of property direction.
90,Weapons,Words,Her words were sharp daggers that pierced through his defenses.
91,Weapons,Words,His vocabulary was an arsenal of precision-guided missiles.
92,Weapons,Words,She loaded her argument with verbal ammunition.
93,Weapons,Words,His words were a shield against criticism.
94,Weapons,Words,The debate was a crossfire of verbal artillery.
95,Weapons,Words,Their words were landmines scattered throughout the conversation.
96,Weapons,Words,He deployed his vocabulary with sniper-like precision.
97,Weapons,Words,Her criticism was a carpet bombing of harsh words.
98,Weapons,Words,Their argument escalated into verbal nuclear warfare.
99,Weapons,Words,He stockpiled powerful phrases for the confrontation.
100,Line,Light,The sunbeam drew a straight line through the darkness.
101,Line,Light,The streetlamp's glow traced a boundary between day and night.
102,Line,Light,Dawn's light sketched the horizon's endless line.
103,Line,Light,The lighthouse beam drew lines of hope across the sea.
104,Line,Light,Lightning signed its jagged line across the sky.
