,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,image_path,true_metaphor,predicted_metaphor,extracted_metaphor
0,0,0,0,0,/data/ajaunarena/our_dataset/images/46_3.jpg,Her sobriety crumbled under the heavy load of cocktails.,"<metaphor>
cocktails clouded her judgment.
</metaphor>",cocktails clouded her judgment.
1,1,1,1,1,/data/ajaunarena/our_dataset/images/1349_1.jpg,"Like a path's gradient, the scale rises steadily upward.","<metaphor>
the scale climbs steadily upward.
</metaphor>",the scale climbs steadily upward.
2,2,2,2,2,/data/ajaunarena/our_dataset/images/1026_3.jpg,Ovals are cradles of curved harmony.,"<metaphor>
curved lines harmonize to form an oval.
</metaphor>",curved lines harmonize to form an oval.
3,3,3,3,3,/data/ajaunarena/our_dataset/images/382_0.jpg,His heart was spun from the finest glass.,"<metaphor>
he was a delicate flower easily bruised by life's blows.
</metaphor>",he was a delicate flower easily bruised by life's blows.
4,4,4,4,4,/data/ajaunarena/our_dataset/images/1240_2.jpg,The light poured through the window like a gentle stream.,"<metaphor>
the light seeped in like a gentle whisper.
</metaphor>",the light seeped in like a gentle whisper.
5,5,5,5,5,/data/ajaunarena/our_dataset/images/914_2.jpg,Their vision has reached its home.,"<metaphor>
they carved their dreams into reality.
</metaphor>",they carved their dreams into reality.
6,6,6,6,6,/data/ajaunarena/our_dataset/images/1281_2.jpg,Each idea is a seed that needs fertile soil to grow.,"<metaphor>
idea seeds bloom under nurturing care.
</metaphor>",idea seeds bloom under nurturing care.
7,7,7,7,7,/data/ajaunarena/our_dataset/images/1018_1.jpg,Their arms encircle vast resources.,"<metaphor>
they are the kings of their kingdom of resources.
</metaphor>",they are the kings of their kingdom of resources.
8,8,8,8,8,/data/ajaunarena/our_dataset/images/552_2.jpg,The new theory is a direct descendant of classical mechanics.,"<metaphor>
new theory inherits and expands classical mechanics' foundation.
</metaphor>",new theory inherits and expands classical mechanics' foundation.
9,9,9,9,9,/data/ajaunarena/our_dataset/images/1802_0.jpg,Time is a precious mineral being mined away.,"<metaphor>
time is a river, each drop a moment lost.
</metaphor>","time is a river, each drop a moment lost."
10,10,10,10,10,/data/ajaunarena/our_dataset/images/1069_3.jpg,The supervisor shifted responsibility to the team leads.,"<metaphor>
delegate tasks, lead the way.
</metaphor>","delegate tasks, lead the way."
11,11,11,11,11,/data/ajaunarena/our_dataset/images/1271_1.jpg,We're just gathering supplies for the long expedition ahead.,"<metaphor>
gathering seeds for a future harvest.
</metaphor>",gathering seeds for a future harvest.
12,12,12,12,12,/data/ajaunarena/our_dataset/images/1472_0.jpg,They guided the economy toward recovery.,"<metaphor>
they paved their way to prosperity.
</metaphor>",they paved their way to prosperity.
13,13,13,13,13,/data/ajaunarena/our_dataset/images/42_1.jpg,The load of inebriation dragged him down with each step.,"<metaphor>
he stumbled through his day like a drunk.
</metaphor>",he stumbled through his day like a drunk.
14,14,14,14,14,/data/ajaunarena/our_dataset/images/309_0.jpg,Her time portfolio was diversified across multiple activities.,"<metaphor>
she juggled her life like a master chef.
</metaphor>",she juggled her life like a master chef.
15,15,15,15,15,/data/ajaunarena/our_dataset/images/906_0.jpg,Her fury radiated like a desert sun.,"<metaphor>
her anger was a blazing fire.
</metaphor>",her anger was a blazing fire.
16,16,16,16,16,/data/ajaunarena/our_dataset/images/1712_3.jpg,The bridge across troubled waters led to their transformation.,"<metaphor>
structured path led them through the storm.
</metaphor>",structured path led them through the storm.
17,17,17,17,17,/data/ajaunarena/our_dataset/images/295_0.jpg,The checkout counter of commitment awaits our final choices.,"<metaphor>
making choices leads to commitment.
</metaphor>",making choices leads to commitment.
18,18,18,18,18,/data/ajaunarena/our_dataset/images/1417_0.jpg,Their support was a balm that soothed her anxiety.,"<metaphor>
her worries melted away like ice under the sun.
</metaphor>",her worries melted away like ice under the sun.
19,19,19,19,19,/data/ajaunarena/our_dataset/images/1949_0.jpg,Their research and development was an arms race for innovation.,"<metaphor>
rivals raced to claim the lead in innovation.
</metaphor>",rivals raced to claim the lead in innovation.
20,20,20,20,20,/data/ajaunarena/our_dataset/images/690_0.jpg,Here is the anchor of being.,"<metaphor>
the present moment is the heart of life's rhythm.</metaphor>",the present moment is the heart of life's rhythm.
21,21,21,21,21,/data/ajaunarena/our_dataset/images/47_1.jpg,The burden of beer weighed down his eyelids.,"<metaphor>
alcohol turned him into a sleepy zombie.
</metaphor>",alcohol turned him into a sleepy zombie.
22,22,22,22,22,/data/ajaunarena/our_dataset/images/86_3.jpg,Our possessions are the keys to property doors.,"<metaphor>
belt tightening leads to wealth expansion.
</metaphor>",belt tightening leads to wealth expansion.
23,23,23,23,23,/data/ajaunarena/our_dataset/images/1866_1.jpg,She ran herself into a better situation.,"<metaphor>
she carved her path to success with her own hands.
</metaphor>",she carved her path to success with her own hands.
24,24,24,24,24,/data/ajaunarena/our_dataset/images/761_2.jpg,Her missing pieces became poisoned arrows.,"<metaphor>
her lack caused her pain, like a heavy burden.
</metaphor>","her lack caused her pain, like a heavy burden."
25,25,25,25,25,/data/ajaunarena/our_dataset/images/1117_3.jpg,Their dominion rocketed skyward.,"<metaphor>
their influence spread like wildfire.
</metaphor>",their influence spread like wildfire.
26,26,26,26,26,/data/ajaunarena/our_dataset/images/166_3.jpg,Her eyes embraced the entire scene.,"<metaphor>
she saw the big picture all at once.
</metaphor>",she saw the big picture all at once.
27,27,27,27,27,/data/ajaunarena/our_dataset/images/1919_0.jpg,Each crossroad is a gateway to new adventures.,"<metaphor>
life's crossroads lead to new horizons.
</metaphor>",life's crossroads lead to new horizons.
28,28,28,28,28,/data/ajaunarena/our_dataset/images/1248_2.jpg,The street lamps' glow pooled beneath each post.,"<metaphor>
street lamps cast circular shadows like lanterns.
</metaphor>",street lamps cast circular shadows like lanterns.
29,29,29,29,29,/data/ajaunarena/our_dataset/images/134_2.jpg,Good habits are deposits in the bank of success.,"<metaphor>
habitual actions lead to a successful life.
</metaphor>",habitual actions lead to a successful life.
