names,values
"Brittle Object_Mind, Or Mental Self.txt",10
Liquid_Money.txt,10
Fighting A War_Treating Illness.txt,10
Control Over An Object Relative To A Possessor_Causation.txt,10
Getting A Burden_Intoxication.txt,10
Motion_Change.txt,10
Moving Object_Schedule.txt,10
Linked Objects_Causes And Effects.txt,10
Possessions_Properties.txt,10
Weapons_Words.txt,10
Line_Light.txt,10
Solid_Darkness.txt,10
Cultivation_Creation.txt,10
Commercial Transaction_Causation.txt,10
Body_Mind.txt,10
Magic_Love.txt,10
"Touching, Eyes Are Limbs_Seeing.txt",10
Being In A Harmful Location_Harm.txt,10
Kinship_Relationship.txt,10
Control Over Possessions_Action.txt,10
Beings With A Life Cycle_Beliefs.txt,10
Constructed Object_Problem.txt,10
Locked Container For Its Solution_Problem.txt,10
Landscape We Move Through_Time.txt,10
An Offensive Weapon_Sexuality.txt,10
Forces Affecting_External Events Affecting Progress.txt,10
Locations_Ideas.txt,10
Shopping_Comparing And Seeking.txt,10
Money_Time.txt,10
Cloth_Theories.txt,10
1 On 1 Physical Aggression_Competition.txt,10
Machine_Mind.txt,10
Replacement_Change.txt,10
Maintaining Position_Emotional Stability.txt,10
An Animal_Lustful Person.txt,10
Climate_External Conditions.txt,10
Brittle Object_Emotional Self.txt,10
Birthing_Creating.txt,10
Entities Inside A Person_Abilities.txt,10
Fashions_Ideas.txt,10
Shapes_States.txt,10
An Object_Existence.txt,10
Unity (of Two Complementary Parts)_Love.txt,10
Straightness_Morality.txt,10
Physical Forces_Psychological Forces.txt,10
Changer_Time.txt,10
Difficulty Is Moving_Difficulty.txt,10
Body Of Water_Problem.txt,10
Motion (location)_Change.txt,10
Nausea_Disgust.txt,10
People wrt Family Tree Structure_Theories.txt,10
Madness_Love.txt,10
Change_Disparity.txt,10
Eating_Getting.txt,10
Causal Relations_Logical Relations.txt,10
Contact With The Ground_Emotional Stability.txt,10
Writing_Ideas.txt,10
Physical Injury_Harm.txt,10
Getting Destroyed_Intoxication.txt,10
Points (set Up In Spatial Configuration)_Facts.txt,10
Container (bounded)_Time.txt,10
Temporal Precedence_Causal Precedence.txt,10
Injuries_Effects Of Humor.txt,10
Location (here)_Existence.txt,10
Possessions_Beliefs.txt,10
Substance Contained In Affecting Causes_Force.txt,10
Being On The Mind_Receiving Serious Thought.txt,10
Fashions_Beliefs.txt,10
Motion_Emotion.txt,10
Beings With Life Cycles_Theories.txt,10
Lacking A Needed Possession_Harm.txt,10
Pursuer_Time.txt,10
Moving Object_Force.txt,10
Containers For Money_Investments.txt,10
Life_Existence.txt,10
Race_Competition.txt,10
Possessions_Obligations.txt,10
Batteries_People.txt,10
Locations_Emotions.txt,10
Cover_External Appearance.txt,10
Balance_Emotional Stability.txt,10
Motion_Form.txt,10
Heat_Anger.txt,10
Moving To A Location (here)_Creating.txt,10
Tangle_Problem.txt,10
Making_Creating.txt,10
Cover_Darkness.txt,10
Physical Closeness_Emotional Intimacy.txt,10
Child_Hope.txt,10
Up_Euphoric States.txt,10
Warmth_Affection.txt,10
Entities Within A Person_Emotions.txt,10
Substance_Laughter.txt,10
Holding_Possessing.txt,10
Containers_Shapes.txt,10
Motion_Action.txt,10
Reception_Perception.txt,10
Journey_Love.txt,10
Transferring An Object_Acting On.txt,10
Cleanliness_Morality.txt,10
Bounded Region_Visual Field.txt,10
Food_Ideas.txt,10
Making Visible_Creating.txt,10
Up_Control.txt,10
Containers_Difficulties.txt,10
Light_Hope.txt,10
Machines_People.txt,10
Journey_Longterm Purposeful Change.txt,10
Competition_Theoretical Debate.txt,10
Light Source_Intelligence.txt,10
Physical Properties_Properties.txt,10
Distinct Individuals_Aspects Of The Self.txt,10
Possessions_Responsibilities.txt,10
Becoming Electrified_Intoxication.txt,10
Fluid_Light.txt,10
Blinding_Strong Emotion.txt,10
Gravity_Logic.txt,10
Journey_Longterm Purposeful Activity.txt,10
Objects_Ideas.txt,10
Forces_Emotions.txt,10
Giving An Object_Creating.txt,10
Heat_Intense Emotions.txt,10
Comparison Of Possessions (non-evaluative)_Comparison Of Properties.txt,10
Solving A Puzzle_Conducting Research.txt,10
Paths_Linear Scales.txt,10
Having A Form_Existence.txt,10
Light Sources_Ideas.txt,10
Cold_Fear.txt,10
Following_Complience.txt,10
