,image_path,source,target,generated_linguistic_metaphor,entailing_literal,contradicting_metaphor,contradicting_literal,literal_description,objects,properties,relations,visual_elaboration
0,imgs/46_3.jpg,Getting A Burden,Intoxication,Her sobriety crumbled under the heavy load of cocktails.,Multiple cocktails gradually eroded her ability to maintain clear-headed behavior.,"Each cocktail lifted weight from her shoulders, fortifying her sobriety and self-control.",The cocktails enhanced her sobriety and self-control.,Loss of self-control due to excessive drinking.,"Sobriety, cocktails","Crumbling, heavy, structural collapse",Weight of cocktails causing destruction of sobriety,"A stone pillar labeled ""sobriety"" crumbling under a pile of colorful cocktail glasses."
1,imgs/1349_1.jpg,Paths,Linear Scales,"Like a path's gradient, the scale rises steadily upward.",The scale increases consistently from lower to higher values.,"Like a path carved by endless switchbacks and sudden reversals, the scale jumps chaotically without consistent direction.",The scale fluctuates erratically with no consistent pattern.,"Gradual, consistent increase or progress.","Path gradient, Scale","Steady, upward, gradual",Comparison between path slope and increasing measurement,A measuring scale morphing into a winding mountain path that slopes upward smoothly.
2,imgs/1026_3.jpg,Containers,Shapes,Ovals are cradles of curved harmony.,"Oval shapes blend curved lines to create smooth, balanced forms.",Ovals are jagged vessels of fractured angles.,"Ovals are sharp and angular, creating discord in design.",Ovals represent perfect balance and gentle flow in their shape.,"Ovals, Cradles","Curved, Harmonious, Gentle",Ovals contain harmony like cradles contain babies,A glowing oval shape gently cradling musical notes that flow along its curved edges.
3,imgs/244_3.jpg,Adversaries,Difficult Subjects,"These subjects are cunning spies, disguising their true complexity.","These subjects appear deceptively simple at first, concealing how difficult and complex they actually are.","These subjects are guileless allies, broadcasting their simplicity with complete transparency.","These subjects are transparently straightforward, openly displaying their simplicity and ease.",Academic subjects appear simple but hide deeper complexity.,"School subjects, Spies","Deceptive, Complex, Hidden",Subjects disguising themselves like spies hiding their true nature,"Textbooks wearing trench coats and masks, revealing complex formulas underneath when opened."
4,imgs/382_0.jpg,Brittle Object,Emotional Self,His heart was spun from the finest glass.,He was extremely sensitive and emotionally vulnerable to hurt.,His heart was forged from tempered steel.,He was emotionally tough and completely immune to emotional pain.,Fragile and delicate emotions.,"Heart, Glass","Delicate, transparent, fragile, finely crafted",Heart is made of/transformed into glass through spinning process,A transparent glass heart with delicate swirling patterns catching light and showing hairline cracks.
5,imgs/1240_2.jpg,Fluid,Light,The light poured through the window like a gentle stream.,Sunlight entered the room gradually and smoothly through the window.,The light stabbed through the window like a frozen shard of ice.,The light appeared suddenly and harshly through the window in a rigid beam.,Light flows smoothly and gracefully into a space.,"Light, Window, Stream","Gentle, Flowing, Liquid-like",Light behaves like flowing water through an opening,Golden light waves flowing through a window frame like a waterfall of sunshine.
6,imgs/914_2.jpg,Moving To A Location (here),Creating,Their vision has reached its home.,They have successfully created what they envisioned.,"Their vision remained adrift, never reaching shore.",Their vision remained abstract and unrealized.,A goal or dream has been achieved or realized.,"Vision, Home","Abstract concept becoming concrete, Journey completed",Movement from abstract to tangible reality,A glowing lightbulb floating into an open doorway with rays of light illuminating a cozy home.
7,imgs/542_1.jpg,Competition For Desired Objects,Competition,The marketplace is a battlefield of starving lions fighting over the last piece of meat.,"The marketplace is characterized by intense, aggressive competition where numerous desperate participants fight fiercely over extremely limited valuable resources or opportunities.","The marketplace is a communal feast where content diners pass overflowing platters to one another, each ensuring their neighbor's plate is full.",The marketplace is a collaborative environment with abundant resources where participants cooperate peacefully and share opportunities generously.,Fierce competition and aggressive business rivalry.,"Marketplace, Lions, Meat, Battlefield","Starving, aggressive, competitive, desperate","Fighting, competing, struggling for survival",Business people with lion heads in suits fighting over a dollar bill in a war-torn office.
8,imgs/1281_2.jpg,Objects,Ideas,Each idea is a seed that needs fertile soil to grow.,Ideas require proper nurturing and supportive conditions to develop into something meaningful.,"Each idea arrives as a fully assembled monument, requiring no construction or foundation.",Ideas emerge fully formed and need no development or supporting environment.,Ideas need nurturing and the right environment to develop.,"Ideas, Seeds, Soil","Growth potential, Fertility, Development","Seeds require fertile soil to grow, just as ideas need proper conditions to develop",A glowing lightbulb sprouting from soil with roots made of written words.
9,imgs/1018_1.jpg,Holding,Possessing,Their arms encircle vast resources.,They control and own extensive assets and materials.,Their fingers barely brush against scattered crumbs of resources.,They have minimal access to resources and materials.,Controlling or possessing large amounts of wealth or resources.,"Arms, Resources","Vast, Encircling, Encompassing",Arms wrapping around or containing resources,"Giant arms wrapping around a pile of gold, oil barrels, and precious gems."
10,imgs/552_2.jpg,People wrt Family Tree Structure,Theories,The new theory is a direct descendant of classical mechanics.,The new theory was developed from and builds upon the principles of classical mechanics.,"The new theory is an orphan with no ancestral ties to classical mechanics, adopted instead from an entirely foreign lineage.",The new theory has no connection to or basis in classical mechanics.,The new theory evolved from and is closely related to classical mechanics.,"Theory, Classical Mechanics","Direct lineage, inheritance, evolution","Parent-child relationship, historical connection",A family tree with Classical Mechanics as the parent branch sprouting a new theory leaf below it.
