,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,image_path,true_metaphor,predicted_metaphor,extracted_metaphor
0,0,0,0,0,/data/ajaunarena/our_dataset/images46_3.jpg,Her sobriety crumbled under the heavy load of cocktails.,"<metaphor>
Drinks washed away her clear thoughts.
</metaphor>",Drinks washed away her clear thoughts.
1,1,1,1,1,/data/ajaunarena/our_dataset/images1349_1.jpg,"Like a path's gradient, the scale rises steadily upward.","<metaphor>
Her journey climbed steadily upward.
</metaphor>",Her journey climbed steadily upward.
2,2,2,2,2,/data/ajaunarena/our_dataset/images1026_3.jpg,Ovals are cradles of curved harmony.,<metaphor>Circles dancing in harmony form ovals.</metaphor>,Circles dancing in harmony form ovals.
3,3,3,3,3,/data/ajaunarena/our_dataset/images382_0.jpg,His heart was spun from the finest glass.,"<metaphor>
He's a delicate flower easily bruised.
</metaphor>",He's a delicate flower easily bruised.
4,4,4,4,4,/data/ajaunarena/our_dataset/images1240_2.jpg,The light poured through the window like a gentle stream.,"<metaphor>
Light slipped in softly, unobtrusively.
</metaphor>","Light slipped in softly, unobtrusively."
5,5,5,5,5,/data/ajaunarena/our_dataset/images914_2.jpg,Their vision has reached its home.,<metaphor>They painted their dreams into reality.</metaphor>,They painted their dreams into reality.
6,6,6,6,6,/data/ajaunarena/our_dataset/images1281_2.jpg,Each idea is a seed that needs fertile soil to grow.,<metaphor>Ideas blossom in fertile minds.</metaphor>,Ideas blossom in fertile minds.
7,7,7,7,7,/data/ajaunarena/our_dataset/images1018_1.jpg,Their arms encircle vast resources.,"<metaphor>
They are a fortress of resources.
</metaphor>",They are a fortress of resources.
8,8,8,8,8,/data/ajaunarena/our_dataset/images552_2.jpg,The new theory is a direct descendant of classical mechanics.,"<metaphor>
New theory is classical mechanics' child.
</metaphor>",New theory is classical mechanics' child.
9,9,9,9,9,/data/ajaunarena/our_dataset/images1802_0.jpg,Time is a precious mineral being mined away.,"<metaphor>
Time is a leaking jug.",
10,10,10,10,10,/data/ajaunarena/our_dataset/images1069_3.jpg,The supervisor shifted responsibility to the team leads.,"<metaphor>
Supervisor handed duties to team leaders.
</metaphor>",Supervisor handed duties to team leaders.
11,11,11,11,11,/data/ajaunarena/our_dataset/images1271_1.jpg,We're just gathering supplies for the long expedition ahead.,"<metaphor>
Gathering tools for our long voyage ahead.
</metaphor>",Gathering tools for our long voyage ahead.
12,12,12,12,12,/data/ajaunarena/our_dataset/images1472_0.jpg,They guided the economy toward recovery.,"<metaphor>
Their hands painted the economy's growth.
</metaphor>",Their hands painted the economy's growth.
13,13,13,13,13,/data/ajaunarena/our_dataset/images42_1.jpg,The load of inebriation dragged him down with each step.,"<metaphor>
Drunk, he moved like molasses.
</metaphor>","Drunk, he moved like molasses."
