,Unnamed: 0,image,claim,label,image_hash
0,0,490.png,she is a ray of sunshine,contradiction,8a009fea37cc1e2202b3acd4191d8a61
1,1,551-1.png,We're starting to realize that life is oddly permanent.,entailment,8fdf15f9123e260a59c0cce86bf6e481
2,2,47.png,a night owl,entailment,bb2fd0a9fe0d6f3a374ea3bb815ee521
3,3,38.png,a night owl,contradiction,91f56248725c2a8c2d6353b90a25b9dd
4,4,411.png,jungle city,entailment,5ca5f9eb9beea5ad91590ad1fe14f77a
5,5,656-1.png,The armor was breakable and weak,entailment,d621eb71ca0c94abc2a58648f08aacea
6,6,315.png,heart sank,entailment,de3ffad9f722b1cb0101735c277f9d18
7,7,816-1.png,John ended up in front of his class mates.,contradiction,bbf3ead9a7043cc16afe22cc8ecd317d
8,8,178-1.png,Now this fool showed up with his confused mind.,entailment,de29a9e7032af60bda958eadab8ae497
9,9,592-3.png,The faculty meeting was an intellectual dialogue.,contradiction,a3a29f0d72c9b352276959ed9df46e37
10,10,269-1.png,"He was tall, domineering, never once breaking eye contact.",entailment,41409e1b9933de71c6929b706e98f4dd
11,11,287-3.png,Rory looked at her as if she were sane.,contradiction,ab13333032bc19a387124d2362916095
12,12,493.png,she is a ray of sunshine,entailment,135dbfe4ca53116295484daee7d971a0
13,13,123.png,blanket of snow,entailment,e7644f430fd4603dba2a52bc71c4585d
14,14,624-1.png,The game is boring,entailment,3ff2e45d025c8b4e1b248e8b31153b4b
15,15,125-1.png,None of the water was red.,contradiction,80bb2c3e0a45f3c947d2c99577951ac9
16,16,325.png,heart sank,entailment,074124e49b7628dd0ca8b4cd49f1229f
17,17,615.png,walking encyclopedia,entailment,fbaa042d132bfe40076787524effaeeb
18,18,879-3.png,He implored her to forgive him but Janet remained indifferent to his pleads,entailment,6d8e9a26acac98148bd0127914c4a8b6
19,19,470.png,sea of umbrellas,contradiction,0fe8a329432a27ba46a7ba5ec619b8c5
20,20,894-1.png,The reasons that carried to the war were in the economical crisis,entailment,998577985f825758b5e1cf60f5234ac5
21,21,487.png,sea of umbrellas,entailment,2991dedae1f2ff9f11b9bfe5316c6605
22,22,222-4.png,She is cold.,contradiction,04bfbc2863bcf32b2579ed65f6d26f01
23,23,394-3.png,Not a change happened to their features.,entailment,258477bf35cf609f4c092f764d0ab496
24,24,247-4.png,She seemed stocky.,entailment,fb60a0d9f233a28150960db15b44052f
25,25,178.png,he is a cheetah,contradiction,31ffed1e8686baf7f94d8d59fff3178c
26,26,883-3.png,I was among many people I did not know  all alone,entailment,cbc9f87741fa078e1cb0a503a2ccaff5
27,27,485.png,sea of umbrellas,entailment,7172dc80d17e951c6c82b50a3bfacbc7
28,28,302.png,heart of stone,contradiction,2be82a8b0c0a65b7e3677158250968f8
29,29,340-1.png,Sales were plummeting after the decision of lowering prices.,contradiction,5737ad27d46c7a1ef584fd007d07d0b9
30,30,474.png,sea of umbrellas,contradiction,7a5a6a07dff0bdf38769fb79ade94a3f
31,31,538-3.png,The library grew back in an ugly way,contradiction,a68799fd1a044b63a066a21a7196ec3f
32,32,310.png,heart of stone,contradiction,90aeb7de07bbb1a3fd9f873621bfb82b
33,33,638-1.png,"It was pale, yet bright and its flesh glowed pleasantly.",entailment,b84ce22dbea87f571b279d0c2d483cc8
34,34,583-1.png,The causes of progress are in technological development.,entailment,6c6863854e605a468e7e2862be82f42f
35,35,141-3.png,A person who suffers a lot of problems.,entailment,a9d85affba0cbd80c71caac251afafa8
36,36,498-2.png,The cat was black,entailment,4661e23917d9d3cc3059ffd5c39c1c6f
37,37,524-2.png,I don't believe your story.,entailment,5faeb930d82ace1525d4a020910620a8
38,38,350.png,home was prison,contradiction,7d8b7d957236b8e56e47ac6eb5909264
39,39,426.png,light of my life,contradiction,60d933658ce96deaf5d67d2ee363150d
40,40,479.png,sea of umbrellas,entailment,e17545b391fc82f695752dc5ea7b3213
41,41,171-3.png,The carriage slowly started to move.,entailment,ded82f771ca1e7459ac3c657b1d8186b
42,42,702-1.png,His nose was rather narrow,entailment,303ff9d68c4deda03dad4e3e27102a3b
43,43,305.png,heart of stone,entailment,b3a7dba58b89f5540405660b55b1e3ab
44,44,734-3.png,The age of computers had yet to arise.,contradiction,0e1c22f6b323b46262909621685a283b
45,45,533.png,she was a busy bee,entailment,1f57aec7687e3f7800c796a0f92fe152
46,46,582.png,their relationship is a house on fire,contradiction,e2dbab1899183854851168595ef5e515
47,47,548-4.png,The old woman was kind enough and generous.,entailment,4e8f8910f46a8c737f50d451dadac591
48,48,584.png,their relationship is a house on fire,contradiction,6e5b5702f927b8032c24f9e8ca0619f7
49,49,735-2.png,He lay before the setting sun.,contradiction,8db5a4bfb0ed1dea0cfae84179012fa3
50,50,167.png,he drives a tank,entailment,7577a332965712a2a328e5244716b261
51,51,557.png,she was a sly cat,entailment,fa5e2cb5dfb951a0e2458f34dfea21ca
52,52,43-2.png,His offer was so unappealing,contradiction,98ebab555274be01bdda65a15a055f1e
